P,num_trading_agents_SM
0.01,10
0.26,225
0.14,132
0.25,218
0.27,234
0.05,51
0.03,30
0.06,62
0.6,331
0.16,150
0.08,78
0.04,42
0.58,336
0.12,112
0.1,95
0.09,86
0.11,101
0.56,340
0.55,344
0.52,342
0.59,334
0.13,123
0.18,164
0.7,282
0.19,177
0.07,68
0.71,273
0.22,201
0.62,315
0.47,333
0.72,268
0.46,334
0.49,333
0.54,347
0.15,141
0.51,337
0.45,329
0.57,338
0.76,252
0.63,310
0.74,261
0.66,303
0.99,16
0.02,19
0.95,66
0.68,298
0.69,293
0.65,305
0.64,309
0.53,345
0.48,327
0.24,214
0.29,250
0.81,216
0.79,237
0.98,26
0.82,210
0.43,326
0.8,227
0.28,245
0.37,297
0.35,289
0.38,303
0.2,189
0.42,322
0.75,256
0.36,297
0.84,187
0.21,194
0.94,77
0.85,176
0.77,244
0.33,278
0.96,53
0.73,264
0.39,314
0.61,318
0.83,198
0.87,161
0.97,41
0.92,108
0.23,209
0.89,139
0.67,301
0.32,271
0.78,240
0.41,323
0.86,167
0.91,119
0.88,147
0.93,94
0.17,160
0.9,127
0.3,259
0.5,336
0.34,283
0.4,320
0.44,326
0.31,263
