P,num_trading_agents_CPP
0.0,0
0.01,75
0.26,437
0.14,319
0.25,430
0.27,445
0.05,195
0.03,181
0.06,212
0.6,494
0.16,342
0.08,245
0.04,178
0.58,494
0.12,290
0.1,269
0.09,260
0.11,278
0.56,492
0.55,492
0.52,492
0.59,494
0.13,303
0.18,362
0.7,500
0.19,377
0.07,230
0.71,500
0.22,402
0.62,494
0.47,485
0.72,500
0.46,483
0.49,488
0.54,492
0.15,330
0.51,489
0.45,484
0.57,494
0.76,495
0.63,494
0.74,500
1.0,138
0.66,500
0.99,500
0.02,110
0.95,500
0.68,500
0.69,500
0.65,495
0.64,494
0.53,492
0.48,485
0.24,420
0.29,453
0.81,492
0.79,494
0.98,500
0.82,492
0.43,482
0.8,494
0.28,449
0.37,465
0.35,464
0.38,469
0.2,390
0.42,479
0.75,495
0.36,465
0.84,491
0.21,398
0.94,498
0.85,490
0.77,495
0.33,462
0.96,500
0.73,500
0.39,469
0.61,494
0.83,492
0.87,482
0.97,500
0.92,496
0.23,406
0.89,491
0.67,500
0.32,462
0.78,493
0.41,473
0.86,486
0.91,488
0.88,483
0.93,500
0.17,354
0.9,488
0.3,458
0.5,487
0.34,462
0.4,473
0.44,477
0.31,459
