P,num_trading_agents_SM
0.46,371
0.01,10
0.02,17
0.48,382
0.44,368
0.43,361
0.45,364
0.58,395
0.53,403
0.52,395
0.36,322
0.35,311
0.34,302
0.5,378
0.07,66
0.59,383
0.04,40
0.49,379
0.13,120
0.1,95
0.6,374
0.11,103
0.63,366
0.03,30
0.41,353
0.09,87
0.32,285
0.15,141
0.54,399
0.14,132
0.42,353
0.23,208
0.51,385
0.86,173
0.18,167
0.94,79
0.95,65
0.27,243
0.96,53
0.97,41
0.12,114
0.98,30
0.99,16
0.89,140
0.29,257
0.85,188
0.06,55
0.31,274
0.9,130
0.16,148
0.87,163
0.88,153
0.3,267
0.91,114
0.92,98
0.33,290
0.08,76
0.65,360
0.62,369
0.61,367
0.05,48
0.2,181
0.4,347
0.17,158
0.68,344
0.47,379
0.19,174
0.38,334
0.64,368
0.37,327
0.93,87
0.24,219
0.39,341
0.28,252
0.22,200
0.66,357
0.55,398
0.21,188
0.67,351
0.69,338
0.72,314
0.73,305
0.84,194
0.56,396
0.71,325
0.7,330
0.57,393
0.75,284
0.8,232
0.77,261
0.83,201
0.78,249
0.74,298
0.79,242
0.82,212
0.81,219
0.76,274
0.25,223
0.26,234
