P,TV0
0.0,0.0
0.08,6356.799603969178
0.02,1411.3925680338914
0.12,9422.328178064989
0.46,36346.7161480722
0.53,42163.079307305
0.19,14679.801711447837
0.39,30846.35814468516
0.5,39705.97868407195
0.43,34081.424751599116
0.41,32585.402506911283
0.54,42901.24164219908
0.45,35652.788018070685
0.48,37875.55133145291
0.52,41231.258988903755
0.6,47464.71488096535
0.26,20466.465694531988
0.25,19661.63629591758
0.72,57082.827104467986
0.73,58079.48347871541
0.66,52169.06292761277
0.34,26954.85319187138
0.33,26111.252569874665
0.35,27701.88644840011
0.37,29403.266391834346
0.71,56323.56833702634
0.05,3804.1015641968543
0.32,25322.281891442228
0.42,33367.42090248847
0.69,54640.41454897156
0.31,24657.954213814483
0.06,4607.953775863622
0.67,53107.84944941862
0.04,2974.6373450860374
0.61,48132.79379517777
0.64,50464.39652487609
0.65,51436.9384690169
0.4,31741.26332280805
0.03,2285.37563693622
0.62,49001.41131868087
0.24,18843.384194153467
0.11,8347.439129864923
0.09,7057.434339070658
0.59,46815.86266659677
1.0,79313.75417062276
0.76,60494.153510296645
0.55,43671.70261857184
0.63,49639.11010690588
0.23,18130.786215659326
0.79,62690.36664816056
0.36,28614.479398285417
0.68,53937.152802608296
0.74,58749.191291663556
0.29,22746.88469419114
0.27,21311.56538158232
0.18,14063.19789600032
0.3,23603.3734246907
0.77,61259.98143201028
0.15,11680.250082717364
0.56,44344.907629940135
0.7,55446.16834786159
0.51,40396.09416772206
0.78,61927.39838443535
0.88,69651.27031801411
0.44,34795.15574356154
0.85,67297.48318273964
0.58,45970.52831814278
0.57,45250.30953095062
0.2,15722.795638817372
0.01,673.9959597996047
0.84,66551.1451541491
0.97,76731.33981811699
0.98,77612.20360646457
0.75,59596.512234171816
0.96,76147.74229331873
0.83,65667.62371249804
0.82,64948.819527643755
0.8,63445.98554579513
0.94,74537.63184683597
0.99,78311.58288604673
0.22,17361.92270171733
0.95,75276.78878874803
0.9,71378.08028793
0.86,68121.00738260557
0.49,38749.54658920856
0.89,70665.65551314512
0.16,12487.304749880946
0.21,16561.717042915694
0.13,10099.45648824731
0.91,72049.63432552479
0.38,30087.957238587795
0.92,72935.17142937673
0.47,37076.50426165179
0.93,73741.47212856659
0.87,68939.4212113604
0.17,13224.881270403746
0.28,22200.417085801455
0.07,5536.205952151755
0.81,64259.39800313908
0.1,7852.731545141375
0.14,10858.212493802988
