P,TV0
0.0,0.0
0.01,660.8318608922352
0.26,21186.182776055783
0.21,17071.988558719764
0.22,17930.561968139296
0.02,1518.5841669199547
0.11,8958.456475713565
0.03,2264.5042179941183
0.14,11440.156546539794
0.33,26791.699539544716
0.34,27862.13759932581
0.05,3914.9670366370897
0.3,24404.718524037547
0.31,25331.50301381209
0.13,10687.713507718527
0.35,28593.063604265153
0.32,25970.986389790327
0.29,23721.604246096027
0.2,16002.516745354658
0.28,22871.207680409403
0.37,30234.481173008848
0.06,4617.739424944331
0.18,14535.75781583981
0.12,9823.82662423098
0.17,13686.189923410297
0.42,34267.64981530143
0.23,18573.23209834405
0.46,37531.730291754124
0.4,32636.521027342576
0.04,3023.0335385599
0.08,6336.747267809451
0.24,19516.086324866803
0.07,5557.7160652912835
0.15,12114.42015068168
0.43,35147.69020673338
0.09,7264.882921144879
0.39,31893.47020784638
0.25,20396.2818059607
0.45,36728.64109471217
0.6,49396.90498067366
0.41,33389.491106547095
0.44,35777.690412138116
1.0,82837.89523202447
0.19,15296.146942797031
0.1,8083.269788279527
0.61,50138.27169305849
0.16,13027.78643915873
0.47,38394.563320705514
0.27,22094.147921476684
0.36,29365.363501492815
0.58,47771.904043000584
0.38,31038.85728168355
0.69,57185.845938668885
0.5,40811.3078515933
0.56,45905.05295767414
0.81,66672.24389387868
0.87,71629.3777589745
0.64,52802.76333340941
0.93,77206.0724308617
0.86,70942.22876910467
0.62,51172.73289803606
0.63,51847.71007379645
0.53,43485.01096017782
0.91,75381.6074959258
0.83,68495.14401152267
0.79,65072.853011267725
0.48,38923.21596902811
0.51,41680.484488360016
0.99,81905.63331184021
0.65,53742.90434973061
0.68,56222.708665292084
0.98,81210.65216159297
0.95,78825.56916670031
0.85,70010.33828634024
0.49,39994.56416450192
0.84,69272.86776044033
0.67,55558.64675772803
0.8,66020.25440965459
0.66,54609.14771012236
0.82,67611.96574260094
0.9,74420.42919622877
0.96,79552.6666014366
0.59,48445.44651230198
0.55,45109.413902019216
0.76,62851.95789278406
0.88,72681.60812349516
0.74,61308.0316563815
0.97,80245.29651711491
0.77,63418.81068019214
0.54,44363.936920443775
0.52,42692.19272750409
0.89,73507.16962607653
0.72,59580.97637027022
0.92,76303.67620645717
0.73,60372.409262153364
0.94,77932.97152678677
0.57,46846.98453201264
0.78,64327.84202844753
0.7,57877.902336171115
0.75,62045.55518157576
0.71,58820.288633886295
