Bilateral Market Min,Bilateral Market Max
0.0,0.0
110.92850705219064,442.0985903114033
258.6651748589602,743.8532649060287
404.7252465818633,894.1502160065975
511.26603962769013,1351.6368000373259
759.3867574031051,1308.9022497810843
908.1951211817595,1666.0818993900639
1125.4424131998758,1766.862883096388
1194.2086619967968,2017.9095967591074
1299.8793097610305,2143.4679765716864
1384.0991991734063,2274.3682807282003
1498.0392292044326,2465.766063812169
1736.4563742687205,2638.585863805598
1808.8210208117453,2766.819693000616
1874.2164774083103,2888.436599403898
2016.3473056764014,3027.2608062656127
2257.490206483488,3448.486879251961
2433.046868961934,3234.230823285532
2581.1465395730556,3472.2271489718987
2642.640305535848,3920.3787924196713
2964.970519874152,4177.390929578354
2814.9562168078082,4059.5138473313964
2838.4288713126116,4005.655530937296
2863.554694002254,4262.414754808131
3318.923159435093,4373.215837766536
3319.8286819360874,4406.228648539083
3313.8194543013196,4451.87473358804
3462.216642939715,4741.80106247267
3524.977432449028,4967.354089142798
3632.019237533783,4943.723719332247
3829.3181030910346,4882.8972084828565
4006.2419370263633,5197.297824916604
3975.067074008024,5672.001339854309
4076.732422248773,5403.25535126204
4002.9827690612947,5774.252868433126
4223.442057501525,6036.2475013599105
4363.533205772888,5592.788488389648
4134.976736015116,5990.063677131569
4523.861166275718,5625.229674905684
4324.774253512805,6359.333125180674
4588.263899340149,6053.111489456001
4644.207503885169,6057.78199573161
4501.009678214716,6284.284405407605
4508.944273732675,5908.960956714254
4756.6575495163925,6084.977966159007
4930.243675052305,6396.953643465364
4754.273719122444,6477.518654104657
4979.9915901966015,6300.132742193666
4989.67450735782,6365.139761685758
4992.975794364305,6573.449438094787
5049.486157727573,6218.66588054561
4888.529745754538,6259.993941266439
4687.10451366935,6029.353702002911
4883.983897305814,5848.899642159689
4863.835814814542,5946.988764260648
4912.047836214908,6157.338710749616
4944.196894342458,6206.152871591927
4781.172641256548,6267.514973729158
4685.40742548494,6036.55004074522
4506.390167499536,5842.983726545885
4777.956940673248,5802.635205904975
4759.620970507218,6026.926999738775
4543.461566686732,5602.112392945412
4454.250348836591,5668.844381894705
4450.758542822601,5459.439035136747
4225.696280159289,5679.427268622152
4095.707951282973,5433.921799099029
3902.32831952587,5190.243947435934
3995.4712079138408,4969.7048512617475
3623.0538562133515,4962.319799119308
3598.6355484351734,4694.41868545414
3780.9358106932486,5062.194624079762
3817.843515733097,4974.663259962646
3546.29508020325,4488.219879274016
3448.605933339859,4643.931517152028
3429.455317790351,4396.071607057042
3307.9336693163496,4195.197963146318
3307.36676015376,4425.8440924012975
3192.4321036539623,4344.033919949274
3043.5030867861497,3944.6601813817833
2763.5786236502463,3915.3213830628956
2635.6270371298306,3851.504023190646
2624.371808751108,3638.756703782681
2643.746809094868,3457.4067595892266
2507.284377227683,3360.2791873775423
2437.128989862773,3252.8440577819565
2221.0901954342553,2901.4518421035027
2185.561218248389,3000.3063308287674
1855.8340786488843,2602.0269692864968
1708.693094402377,2372.670697710302
1477.0106180225848,2159.172557803802
1263.1838486415072,1895.4264531702647
952.4873994657391,1760.7472321698733
791.9209739938087,1383.5161880320811
755.4232595262001,1312.7354743950418
681.6014454894903,1117.0168070826476
575.9757931240165,1017.9542605704482
450.3112898120744,872.8775706028828
202.31115911914094,525.7168536897516
96.43504862811824,316.313169137502
0.0,0.0
