P,num_trading_agents_SM
0.01,10
0.26,227
0.21,194
0.22,200
0.02,21
0.11,100
0.03,30
0.14,128
0.33,271
0.34,278
0.05,49
0.3,252
0.31,261
0.13,118
0.35,290
0.32,265
0.29,248
0.2,185
0.28,242
0.37,303
0.06,57
0.18,169
0.12,110
0.17,159
0.42,322
0.23,208
0.46,338
0.4,318
0.04,39
0.08,75
0.24,218
0.07,65
0.15,137
0.43,325
0.09,81
0.39,312
0.25,223
0.45,333
0.6,339
0.41,321
0.44,328
0.19,177
0.1,89
0.61,346
0.16,149
0.47,339
0.27,236
0.36,297
0.58,334
0.38,311
0.69,304
0.5,347
0.56,337
0.81,222
0.87,157
0.64,326
0.93,90
0.86,164
0.62,338
0.63,335
0.53,343
0.91,111
0.83,195
0.79,239
0.48,333
0.99,18
0.51,345
0.65,322
0.68,311
0.98,28
0.95,67
0.85,174
0.49,342
0.84,184
0.67,315
0.8,227
0.66,320
0.82,212
0.9,123
0.96,50
0.59,338
0.55,340
0.76,267
0.88,144
0.74,280
0.97,40
0.77,259
0.54,344
0.52,341
0.89,132
0.72,296
0.92,100
0.73,286
0.94,76
0.57,333
0.78,252
0.7,299
0.75,271
0.71,296
