P,num_trading_agents_CPP
0.0,0
0.02,86
0.49,445
0.54,449
0.56,455
0.05,171
0.41,431
0.39,432
0.4,431
0.55,457
0.42,434
0.36,422
0.01,59
0.23,361
0.27,384
0.38,427
0.65,469
0.43,431
0.46,441
0.52,453
0.51,453
0.22,359
0.03,149
0.16,300
0.44,439
0.31,396
0.28,389
0.26,383
0.29,396
0.53,454
0.32,410
0.1,248
0.37,425
0.5,447
0.48,443
0.45,442
0.24,364
0.47,443
0.07,208
0.57,458
0.35,413
1.0,275
0.08,223
0.25,370
0.09,237
0.18,325
0.58,459
0.2,338
0.59,460
0.15,293
0.06,193
0.04,153
0.14,288
0.33,404
0.13,274
0.69,476
0.11,264
0.68,471
0.71,475
0.3,396
0.34,412
0.7,473
0.6,462
0.21,342
0.17,308
0.62,463
0.12,269
0.66,469
0.72,474
0.63,466
0.73,478
0.19,342
0.67,470
0.74,475
0.61,463
0.77,478
0.78,479
0.75,480
0.8,480
0.76,479
0.99,415
0.82,482
0.96,479
0.64,469
0.9,488
0.81,481
0.95,480
0.91,489
0.79,472
0.93,490
0.87,485
0.84,483
0.97,487
0.83,482
0.89,481
0.86,485
0.88,481
0.92,488
0.85,484
0.98,484
0.94,490
