P,TV0
0.0,0.0
0.02,1394.031439782561
0.49,39522.80966918575
0.54,43533.78433174212
0.56,45186.47700335925
0.05,3639.5250272069025
0.41,32843.41241964936
0.39,31228.990899186254
0.4,31982.657526950672
0.55,44325.00267468078
0.42,33682.16777995127
0.36,29003.28029384736
0.01,648.291181697408
0.23,18527.546509096916
0.27,21743.036742286007
0.38,30550.18972715853
0.65,52391.12367023686
0.43,34540.574030093936
0.46,37125.55505412445
0.52,41860.93072853991
0.51,40968.733880395404
0.22,17615.39737376701
0.03,2269.938906269097
0.16,12750.35098137962
0.44,35225.34443719044
0.31,24984.8450167981
0.28,22379.563381541273
0.26,20794.91628969801
0.29,23413.174886638495
0.53,42632.37622210115
0.32,25736.476173649367
0.1,7779.53695248444
0.37,29648.505768914718
0.5,40412.54114029225
0.48,38567.45948347575
0.45,36236.08595793469
0.24,19227.088757783946
0.47,37924.20469481707
0.07,5356.841733348567
0.57,45820.840958877976
0.35,28136.35539345564
1.0,81248.76535085967
0.08,6040.721927947594
0.25,20088.290723786504
0.09,6891.153028391807
0.18,14340.258067442417
0.58,46606.10802379361
0.2,15980.405912526872
0.59,47490.43659662938
0.15,12023.400709838337
0.06,4563.444558468629
0.04,2954.767874997513
0.14,10982.013362166479
0.33,26357.561421768332
0.13,10152.005702539382
0.69,55426.82676974423
0.11,8514.66338458495
0.68,54605.823603229015
0.71,56767.0472386963
0.3,24233.933108262478
0.34,27035.517168219383
0.7,56105.431593405025
0.6,48221.49466021748
0.21,16745.398986246622
0.17,13529.938641895673
0.62,49786.914865547325
0.12,9359.772745929728
0.66,52996.83819843696
0.72,57671.892794803585
0.63,50632.58325932357
0.73,58519.02500059793
0.19,15058.487907101564
0.67,53836.71806789174
0.74,59321.05825014789
0.61,49195.07043771977
0.77,62262.83925869391
0.78,63102.368721945335
0.75,60176.04107010314
0.8,64722.53275436074
0.76,61103.04875394822
0.99,80402.05134784538
0.82,66371.7522494223
0.96,77818.70511828002
0.64,51494.24858796808
0.9,72513.18299183616
0.81,65462.015945795676
0.95,76888.09955815562
0.91,73475.1239761718
0.79,63980.26648989732
0.93,75252.45315428045
0.87,70388.3387788334
0.84,67856.35537511285
0.97,78508.52480302461
0.83,67084.0208205923
0.89,71936.01355034346
0.86,69460.34231948294
0.88,71262.44274197346
0.92,74334.33686430068
0.85,68489.56291707921
0.98,79495.20921438183
0.94,76087.43414777957
