P,num_trading_agents_CPP
0.01,9
0.0,0
0.03,11
0.02,11
0.04,21
0.11,57
0.08,31
0.13,71
0.19,102
0.2,111
0.1,29
0.44,162
0.22,111
0.38,156
0.09,34
0.07,28
0.15,81
0.05,24
0.16,81
0.18,88
0.12,68
0.53,113
0.23,112
0.27,126
0.24,121
0.46,114
0.58,109
0.29,129
0.31,142
0.26,121
0.33,135
0.45,162
0.4,123
0.32,134
0.37,161
0.28,125
0.5,110
0.43,111
0.51,114
0.42,97
0.54,110
0.35,88
0.59,110
0.21,111
0.36,74
0.61,137
0.6,111
0.8,115
0.79,121
0.14,78
0.81,109
0.86,88
0.89,70
0.77,107
0.93,57
0.62,136
0.25,131
0.94,46
0.83,86
0.82,102
0.9,68
0.84,96
0.87,79
0.98,15
0.96,23
0.85,95
1.0,297
0.17,84
0.65,120
0.66,121
0.57,103
0.67,115
0.68,111
0.63,129
0.91,62
0.69,107
0.74,91
0.75,89
0.64,127
0.76,88
0.49,112
0.55,91
0.52,114
0.88,73
0.97,17
0.72,100
0.71,107
0.73,95
0.41,139
0.3,143
0.95,30
0.99,11
0.92,61
0.39,153
0.06,29
0.47,93
0.78,85
0.34,141
0.7,102
0.56,91
0.48,91
