P,num_trading_agents_SM
0.01,2
0.03,6
0.02,6
0.04,10
0.08,24
0.11,28
0.13,32
0.19,44
0.2,46
0.1,26
0.44,60
0.22,50
0.38,52
0.09,26
0.05,14
0.16,38
0.18,42
0.12,32
0.07,22
0.27,54
0.23,50
0.53,72
0.24,52
0.15,38
0.46,66
0.29,53
0.58,73
0.31,50
0.26,54
0.33,47
0.4,50
0.32,47
0.37,57
0.5,70
0.43,58
0.28,52
0.45,60
0.54,70
0.35,51
0.51,72
0.42,58
0.59,73
0.21,46
0.36,55
0.61,75
0.8,46
0.6,75
0.79,50
0.81,46
0.14,36
0.89,30
0.86,42
0.93,14
0.77,52
0.62,73
0.94,12
0.25,54
0.83,46
0.9,28
0.82,46
0.84,42
0.87,36
0.98,2
0.96,6
0.85,46
0.17,40
0.65,66
0.66,66
0.57,69
0.67,66
0.68,64
0.91,22
0.63,68
0.69,62
0.74,48
0.75,48
0.76,48
0.64,66
0.49,70
0.55,71
0.52,74
0.97,2
0.88,32
0.72,56
0.71,62
0.73,50
0.95,6
0.41,56
0.3,52
0.99,2
0.92,20
0.06,18
0.39,52
0.78,48
0.47,70
0.34,47
0.7,60
0.56,71
0.48,70
