Central Planning Mean,Smart Market Mean,Bilateral Market Mean
-2.352875732159326e-12,0.0,0.0
944.1733927841453,458.92206940358506,211.16097131171165
1928.7989850422268,860.9640994278686,409.49130592041917
2822.149454411127,1005.3119834241929,566.8165612506965
3784.2948571219094,1484.6494160852608,852.0239291935544
4567.8574414134455,1742.444551914787,996.3993480989427
5561.016039672753,2189.2249196797666,1219.8088256481328
6235.238850138112,2420.861520246958,1363.0544352679476
7127.067375814885,2630.497304723305,1499.3481477948014
7720.253369490187,2728.741646047627,1585.9255942940397
8383.30180594057,2933.969053920364,1739.2945135663063
8854.18586400228,3070.660720228003,1823.5215642450294
9581.02789475741,3432.218872732492,2001.6975729266444
9912.93829595904,3618.716479699033,2122.5023195523004
10533.993316364184,4109.584782443862,2318.006645404654
11204.113489432119,4564.95022571642,2505.28134713076
11714.268517648943,4751.439978789322,2651.0192192115724
12267.75176861884,4960.931247728813,2729.14749608671
12796.758487918418,5126.884947731141,2863.4919870906115
13156.682763130408,5392.948739570791,2916.295148901379
13665.79280706611,5555.32397852348,3078.3854967532034
14035.334200966297,5582.011754391591,3196.306463042823
14277.488414801768,5631.405423199576,3253.6091632598464
14606.851727973082,5893.200788881153,3328.4765162788995
14862.47402699079,5661.163269587101,3378.613048966084
15290.170753520495,5902.159366985237,3544.3886362866037
15496.816813986046,5905.8514303639895,3629.3705680711837
15976.948862573889,6008.064575582088,3807.1909993354825
16477.748567261307,6335.891068002737,3884.694368240583
16911.033606149438,6547.244730535891,4171.428665293567
17142.108005802012,6610.805104313993,4147.426064511513
17366.00749199951,6738.761462220271,4287.624524551925
17660.35380918611,7156.793876521606,4418.940027140754
17892.300637159027,7330.73522692054,4558.929059746903
18182.63073033696,7370.978929895791,4670.899702250585
18269.428857815066,7346.22535267099,4664.130298972784
18489.365677784,7275.471921270055,4741.313323236041
18774.17278670442,7583.091949540903,4879.173160341763
18924.845011256497,7601.231182502441,4918.395233164203
19059.442919665937,7648.899136415021,5005.513155975968
19148.822980659716,7607.190605119198,5095.765581680743
19365.11043347635,7577.580255557652,5210.776794199328
19377.312790885975,7731.348861447477,5284.852800411934
19506.182442265283,7916.51205957865,5322.621722828734
19448.880396531542,7800.502980876874,5316.5886131075595
19448.365700694572,7773.723398253351,5274.322399457454
19644.850301606843,7959.208780122601,5534.355944400045
19771.34896621011,8073.309458284362,5520.266888668938
19604.991375068155,7960.711581115189,5463.962324637073
19616.945142716788,8010.778504145994,5457.9501033509405
19608.563766882144,8008.910647340177,5330.7973929931595
19573.19986265678,7906.764572334585,5408.711009373881
19668.6741946886,8029.524545944681,5414.373616327781
19563.615755329905,8052.5889311030405,5428.127966234938
19481.59614894144,7933.087542123198,5381.733672450813
19280.26012136511,7731.290715641866,5271.454481434361
19245.28707380591,7733.18874694666,5297.924170528488
19296.357057282825,7700.091400487654,5274.594579445909
19226.80316562131,7724.099333256076,5298.897381883054
19116.867635101735,7577.908806838583,5248.672302898016
18871.596064352932,7388.978018156355,5116.173824381186
18753.872224668048,7363.44527206842,5049.25851433358
18609.587576671936,7332.447521863993,5013.984940488069
18442.395204741835,7237.721362549266,4998.863677090432
18168.596498308892,7101.1124128472875,4830.926826111764
18140.51597511637,7218.608376657474,4936.694752762468
17816.380249598547,7041.118458689401,4831.66318595387
17682.36815671246,7119.64851719336,4779.548808763497
17439.049776635962,6944.176947355249,4664.442383539634
17060.72287478223,6729.507248675087,4485.82200674714
16718.445117653613,6605.8150885341165,4344.47492972907
16443.472938053434,6650.491631393685,4318.7690282336
16217.254310522916,6705.246287284019,4291.338469719016
15855.865700194758,6489.0139709715,4112.713109964051
15450.519299687387,6301.796956686012,4071.327526734216
15110.5111879135,6061.295717753455,3969.2332388365453
14844.40193372671,6026.615221775923,3878.1850388429143
14446.469878398182,5871.974273367989,3766.321254532323
13903.082560834993,5448.666016558367,3553.8115925383436
13595.224685550469,5422.7342286088315,3584.937048944093
13089.311658828476,5209.450992487866,3382.91979443666
12564.987780486137,5055.905267918046,3205.18096014728
12035.581626370556,4816.703451838941,2988.7293339275366
11435.301245354642,4611.941111977925,2895.5637293343
10904.6112522056,4388.583269379451,2754.7654248103586
10379.764494864454,4133.5846412155515,2598.3088945833874
9859.687058145006,3852.818657611235,2484.153094786506
9375.393655309905,3760.205247370395,2392.628401001874
8663.58386352585,3501.345673073709,2173.3940060321897
7943.999985132054,3157.313396659083,1992.826567276875
7254.976706121157,2885.733817662811,1787.359898830665
6586.168742943684,2666.7232715266,1637.1515538499932
5953.200961940441,2392.0103926374286,1481.5773897283975
5177.620481347131,2042.4552608220838,1288.4869314355412
4464.9050537274525,1786.1875782714633,1076.6030314572347
3717.185844443954,1468.48924382322,901.0335070296259
3023.4999680012643,1206.4866595897183,718.6638927111826
2414.790759633083,976.844549948044,602.990579817121
1502.9403953859457,531.6240708698315,343.6667847677243
770.2236287557242,247.28822516850778,174.23507423545436
1.4210854715202004e-14,0.0,0.0
