Bilateral Market Min,Bilateral Market Max
0.0,0.0
91.9541431475784,388.69550503727373
251.05949409085906,578.5535248475765
360.74571878570396,896.6460080186284
612.0063307916207,1101.360230397966
667.4010299764318,1336.231189249354
798.7445680907958,1553.9766487995612
1088.7735288636113,1986.7224737774304
1194.7277003363806,2155.2986255733995
1241.8747657956028,2115.904302806499
1262.0564109829738,2222.217351964593
1442.084340164749,2224.5703749969034
1595.5788592131776,2535.079010314794
1661.4195420691358,2527.8887663287114
1893.8833891619252,2748.482435511529
2005.2713603579068,2943.4881970665774
2143.9053804839677,3481.535804065212
2273.0478281967007,3209.77554938711
2338.6407426108235,3376.3014344322764
2371.195154396126,3465.0581017797085
2465.223580978345,3601.521859617562
2525.417127853918,3728.7047175180887
2490.482064434429,3786.527604070856
2656.893599464376,3828.5065289052363
2881.2923569546183,3849.845935911595
3000.0984599274416,4320.034343771582
2862.2527167695807,4347.357766044144
3291.481320767096,4498.200926027799
3308.19551728214,4535.483291488275
3579.365722673676,4700.68316819521
3622.755938809365,4664.6363888973865
3515.003038416893,4791.380056035679
3702.964084657953,4932.1797320184305
3924.373044309821,5187.743947923573
4173.186280093527,5392.47885720733
4124.2956131282845,5222.425739949562
4249.867279011862,5316.028073440877
4024.2731331360264,5666.801437460286
4342.907689354757,5522.294189313387
4199.444771120594,5597.519760790143
4374.639013789485,5672.340728572854
4742.4833771997655,5759.65109598908
4629.708385972386,6186.578903011679
4668.099143559986,6030.452543076608
4647.473736303378,5983.0632171070465
4680.773116546545,6103.868712020034
4904.8048110480595,6472.214504562231
5011.5612820342285,6229.085951513276
4748.903111111133,6246.924563776178
4544.238851994887,6023.722093097196
4607.613914503359,5863.614896567677
4883.081419558381,5897.097953360142
4872.376823047845,6264.416826538916
4820.926554842517,6007.191844801273
4519.102948076135,6008.177814031129
4586.77106373071,5862.188465858417
4747.7166575250085,5966.355504196341
4743.992300311933,5943.988283337429
4655.842132950311,6033.620772095652
4454.377531987695,6060.441449885366
4409.983137572002,5784.413855574749
4587.456193053928,5632.657104921724
4317.034298593571,5620.9208887734785
4487.75455072178,5537.636912510679
4178.904675935832,5387.030903408333
4540.547546570342,5568.8309992727445
4062.9046012428953,5334.749659895067
4326.64574230701,5378.683069437662
4051.574128156375,5380.993321736263
3817.979951359921,4963.627742175238
3617.6382141030044,4984.076274909057
3780.861411338563,5120.1675003780765
3814.615785972899,4873.368357015446
3593.4600478210923,4717.950064091136
3535.3854373761424,4606.306800621111
3539.6504954047123,4567.242479985158
3254.2923691908727,4386.952674784319
3365.957017906636,4233.124402943853
2901.031237000192,4051.853565989157
3125.6011599754784,4038.6562929156134
2739.273085348701,3958.814426415789
2716.326316487015,3675.462804770301
2648.1066752412444,3400.2881262750016
2395.680965948777,3494.3009319654957
2292.073042768272,3342.873223532777
2292.0006997537566,3114.600774293358
2078.4446230125322,2924.828950506897
2067.4010659290216,2746.150343256915
1836.3693535154162,2635.8458583884785
1647.1901357701427,2398.3166566619766
1434.454901764664,2085.58508507043
1228.920022158607,1941.1009474497987
1128.0665083120402,1814.8646918695158
1013.9626925575722,1597.8672428258142
850.6662845143292,1269.4813105850772
653.6628040190699,1155.0972531393054
513.2398816971108,902.9278004419175
381.29938304505777,819.4637879263464
225.26297192758648,489.2473252536729
115.40642261563335,248.6066102014738
0.0,0.0
