,Central Planning Mean,Smart Market Mean,Bilateral Market Mean,TV0,Central Planning Mean/TV0,Smart Market Mean/TV0,Bilateral Market Mean/TV0,TV0_p=1,Central Planning Mean/TV0_p=1,Smart Market Mean/TV0_p=1,Bilateral Market Mean/TV0_p=1
mean,13387.517726406913,5324.056070526708,3428.2631105255023,40255.42645107785,0.5224236773455542,0.20660187954640738,0.12610899963134029,80548.3725044293,0.16620469551598624,0.06609762438383147,0.0425615441247678
max,19771.34896621011,8073.309458284362,5534.355944400045,80548.37250442934,1.34911671262167,0.6557475971628496,0.30172508315449215,80548.37250442934,0.2454593227830008,0.10022933061546851,0.06870847631459856
