P,mean_price,min_price,max_price,25th_percentile_price,75th_percentile_price
0.01,126.16198741294602,62.9243531206381,217.23621082998693,107.14881477823357,135.86257926033855
0.01,149.2818125502941,112.11677986762172,201.60110219916896,136.37292851402404,156.98493146221358
0.01,148.75472854151454,18.821235857407544,291.2424329860458,114.71693500010767,169.95078209461303
0.01,148.28187945828458,113.1621016261139,209.39060709556477,136.69911503305806,146.78812826532882
0.01,140.30659581615197,84.23466487226136,208.51123360194333,109.33120691082351,172.32038394371602
0.01,133.2260735397666,93.099072353351,163.25010166658575,120.16003161655203,160.28679185674406
0.01,127.87132662734257,18.118570049178793,215.5028462678187,99.47747007565319,169.9550605839973
0.01,154.66885919650576,53.918377376192986,241.56705724239978,114.07501249278909,210.28543897757726
0.01,143.16485181018788,46.377599811018996,236.26774968052473,127.0727648323255,158.81806082878228
0.01,130.66056396585356,83.12952105791548,196.99020398914595,98.25298157188979,153.51718146566265
0.01,124.16532416105173,9.9416440217984,171.64647042010915,130.134817262521,151.43807627675167
0.01,133.51612651797058,16.17968447674821,228.59276789583143,115.99002024039129,167.34004812030906
0.01,136.46867751881442,5.582998889962759,259.2705157196712,106.10366091400331,171.7866760864984
0.01,157.15295221606326,124.14691715002735,192.30406651832493,133.08244289523194,182.7009587248541
0.01,148.2749066856536,40.842922340913205,271.11893895000935,122.06989363171203,171.87428684836803
0.01,151.63404036333455,120.77522825582369,211.07668516744997,125.87075216518376,153.06039642558753
0.01,135.10936792731874,13.738196978515097,234.69340051389435,99.98838407037219,187.39974826584364
0.01,151.64638753172235,113.50559872420894,226.39120863715794,126.86305213236881,159.32815472246816
0.01,157.55518072349054,131.36562838622214,200.01488521449997,146.02252509440464,160.23683606312252
0.01,142.01523180042528,92.24105013856122,158.31882737051748,144.76974533951963,155.73228789984154
0.01,150.58202368569928,126.11865846731732,181.21116022850106,134.66902422460436,157.51408292368473
0.01,117.38222955679686,10.119068750111829,163.36453225202214,120.29397794828421,148.09645064758712
0.01,156.9469566906602,59.743223772001954,252.95023808729945,132.59283435764405,190.1568343836802
0.01,144.78964991800157,81.64243696982196,182.42571200766753,116.83493031666225,178.02320547824596
0.01,155.2585862570916,92.60005208182343,214.54232067325688,130.07030510383527,177.0829321974029
0.01,161.29478123962502,118.63133065443166,178.2253410145296,165.6813966025034,174.12126070629486
0.01,114.66523538404931,15.39570879900824,153.24976297975294,113.31045263380291,143.04268483805228
0.01,147.77295084425342,97.50128461035271,194.83974495687625,118.12196011660478,178.16701752534107
0.01,155.02129231011037,108.64452010778422,212.39776591153276,125.36779465180996,181.65251430754034
0.01,104.66608266895584,30.04195421331785,180.9534165343849,65.36146052427344,134.10346844620926
0.01,124.26556324830032,38.79081950749833,193.64058351713572,108.41579415771592,144.1834291929036
0.01,110.22189574343308,16.973528605567523,202.66285970093702,99.75710896707434,121.4956188098045
0.01,127.12889571934993,18.80896324223806,182.43065605961323,105.0325877923542,170.25957655788366
0.01,117.31857764692276,9.05141960801752,214.74160169471122,82.79673673296436,156.04439093750705
0.01,169.9159162306009,112.61497734876554,285.9576470784673,125.3194450420161,213.95083055591363
0.01,135.3506258150773,66.18904879145221,235.17213888579556,97.89670239707726,157.37737219810361
0.01,169.66611425192517,128.10465101064656,245.87425586465025,136.72204312709252,182.28213925906527
0.01,112.237708876014,11.104385580220008,153.54237528112805,103.62365429273866,150.45786193462118
0.01,171.2266609535699,141.99247922566335,256.13019715712346,148.45049928745686,163.99624152228864
