P,TV0
0.0,0.0
0.02,1604.6302730008742
0.12,9852.299933358167
0.32,25944.16685472508
0.31,25207.16247205178
0.13,10574.000200524491
0.14,11570.144896312107
0.38,30649.954392466858
0.04,3111.330610085619
0.29,23307.543689730865
0.33,26796.51141976241
0.35,28242.607959747
0.11,9132.837122580377
0.08,6384.455040507292
0.55,44167.96884057469
0.09,7261.465210587909
0.03,2252.4442150258674
0.26,21141.303338372178
0.1,8155.493299318747
0.39,31338.01898499836
0.36,29045.73780411274
0.07,5705.818384082084
0.5,40352.196865990365
0.49,39643.23551453113
0.51,41059.66237920867
0.28,22744.629801031
0.18,14998.40922517496
0.3,24337.104665859966
0.41,33068.56861125036
0.05,4073.3756672781637
0.43,34566.87458865985
0.53,42659.07808551068
0.56,45060.1656887192
0.01,660.8318608922352
0.27,22074.250617511203
0.15,12363.798074391923
0.4,32249.474707804213
0.16,13272.696505676067
0.37,29730.815062593025
0.22,18003.160235970667
0.23,18662.27137665866
1.0,81229.27261863211
0.24,19538.44079017241
0.2,16580.61993840245
0.46,37153.230534020666
0.48,38619.59041121008
0.99,80311.15632865235
0.21,17367.865396312693
0.45,36297.12890695847
0.47,37859.96606684609
0.06,4702.681576794606
0.17,14126.88718459764
0.98,79451.94344052346
0.44,35444.68211929729
0.97,78604.75476331462
0.54,43290.37125398214
0.34,27498.49025548376
0.42,33926.26267652538
0.95,76829.88187116716
0.19,15750.201207999704
0.57,45825.214092380316
0.25,20468.09328595916
0.52,41903.73210280958
0.62,49984.799036221375
0.59,47535.6639010915
0.91,73501.30199755753
0.94,76024.75895731909
0.6,48386.82829633533
0.96,77738.98090401493
0.92,74169.11992456512
0.89,71964.72459391116
0.65,52412.41035954804
0.83,67038.80642848408
0.58,46642.532000099825
0.8,64380.55616150977
0.78,62608.3969453148
0.79,63294.99217038811
0.86,69742.3396575796
0.77,61908.25721814182
0.61,49112.10364574623
0.87,70484.19239350788
0.84,68090.90871161793
0.73,58527.17507297339
0.69,55506.84253468462
0.85,68840.65170278671
0.88,71301.6413454265
0.74,59454.915327255614
0.93,75240.61278621561
0.63,50927.75169044458
0.66,53182.64592536816
0.82,66265.65953571766
0.9,72787.09724094067
0.76,60976.36673537739
0.7,56334.39204843214
0.67,53977.83056487789
0.64,51733.74426190901
0.68,54823.498958654134
0.81,65398.05049140914
0.71,57074.390072766495
0.75,60240.94140700252
0.72,57858.08460746986
