P,num_trading_agents_CPP
0.0,0
0.02,295
0.12,282
0.32,395
0.31,395
0.13,285
0.14,295
0.38,417
0.04,153
0.29,390
0.33,397
0.35,406
0.11,275
0.08,225
0.55,455
0.09,236
0.03,139
0.26,375
0.1,250
0.39,421
0.36,405
0.07,206
0.5,445
0.49,442
0.51,448
0.28,383
0.18,325
0.3,392
0.41,427
0.05,158
0.43,432
0.53,444
0.56,455
0.01,69
0.27,380
0.15,302
0.4,424
0.16,313
0.37,406
0.22,363
0.23,369
1.0,206
0.24,372
0.2,341
0.46,435
0.48,441
0.99,497
0.21,353
0.45,436
0.47,440
0.06,188
0.17,319
0.98,497
0.44,434
0.97,495
0.54,450
0.34,405
0.42,426
0.95,493
0.19,334
0.57,455
0.25,376
0.52,448
0.62,466
0.59,459
0.91,495
0.94,492
0.6,464
0.96,494
0.92,491
0.89,490
0.65,468
0.83,483
0.58,458
0.8,483
0.78,482
0.79,482
0.86,488
0.77,481
0.61,465
0.87,489
0.84,486
0.73,476
0.69,472
0.85,486
0.88,491
0.74,476
0.93,492
0.63,466
0.66,469
0.82,483
0.9,490
0.76,481
0.7,474
0.67,469
0.64,466
0.68,471
0.81,483
0.71,474
0.75,478
0.72,475
