P,lagrange_multiplier_theta_mean,lagrange_multiplier_theta_min,lagrange_multiplier_theta_max,lagrange_multiplier_theta_25th_percentile,lagrange_multiplier_theta_75th_percentile
0.0,39.891393706725175,30.867462547231078,40.91470136628743,39.879431197941145,39.94139240909587
0.02,36.175004847086676,13.002772568117244,64.31726445836374,33.50044014441963,38.89872241916004
0.12,30.051092895610473,-0.029825547718061785,85.90615460773898,25.275373799892396,32.93189206002439
0.32,21.662839444881627,-0.017263274597727474,60.608692111318135,18.230530203077585,22.890427661193453
0.31,21.967302478113925,-0.01716618309243856,61.15736053563657,18.65295217253034,22.89004058294362
0.13,29.67668227409065,-0.026744977789086022,85.29650305804489,24.513367414451867,32.20811098489398
0.14,29.35240103688843,-0.02480806382883216,85.76115324463342,23.765723906083622,32.50280160972699
0.38,19.405576905751488,-0.016841070752285248,56.555077389849785,16.23802725741151,21.531630449699236
0.04,35.24372181050682,13.40517732176803,92.82040257002558,31.336984057534234,38.91553215185382
0.29,22.733882640804456,-0.0011683173432999183,63.361752973807725,19.66793073017355,24.300373700204425
0.33,21.248075324512747,-0.002222883600452974,59.571972519321875,17.847410559820776,22.456669646611463
0.35,20.445449801802084,-0.0033483748398595026,57.52173114305552,17.17666327038274,22.456948428172463
0.11,30.511908194029477,-0.0336876008930318,87.10264427578336,25.67772501924332,32.98522818242587
0.08,32.052349764963466,-0.05028808064218637,87.1501914770046,26.948246088495836,34.21625952312918
0.55,13.78768500708786,-0.0028886995349282074,47.09609949652591,11.253868631051336,16.387568020445812
0.09,31.619994075260564,-0.04510119690105796,88.20132449856283,26.5941382072904,33.43537350719638
0.03,35.98050583964354,13.086722266891474,83.5284378338695,32.94913364978387,39.548438248189306
0.26,24.071587336767543,-0.00025992355575965576,67.50668039562058,20.204287385946394,25.21090225055063
0.1,31.11733878641469,-0.0379413012988401,87.49316691824271,25.79968326525481,33.340241145784056
0.39,19.094321009415733,-0.015434296852777862,55.45495050650129,15.898240026904677,21.505008251149107
