P,num_trading_agents_SM
0.02,21
0.12,100
0.32,244
0.31,234
0.13,105
0.14,117
0.38,280
0.04,37
0.29,224
0.33,256
0.35,272
0.11,92
0.08,70
0.55,299
0.09,81
0.03,27
0.26,199
0.1,88
0.39,285
0.36,272
0.07,64
0.5,305
0.49,299
0.51,303
0.28,213
0.18,150
0.3,232
0.41,289
0.05,49
0.43,292
0.53,303
0.56,296
0.01,11
0.27,206
0.15,123
0.4,286
0.16,131
0.37,271
0.22,177
0.23,183
0.24,186
0.2,164
0.46,296
0.48,299
0.99,9
0.21,169
0.45,296
0.47,296
0.06,56
0.17,138
0.98,22
0.44,293
0.97,31
0.54,302
0.34,265
0.42,291
0.95,46
0.19,155
0.57,288
0.25,191
0.52,304
0.62,274
0.59,282
0.91,89
0.94,56
0.6,283
0.96,37
0.92,80
0.89,113
0.65,269
0.83,158
0.58,287
0.8,188
0.78,204
0.79,199
0.86,140
0.77,213
0.61,280
0.87,130
0.84,151
0.73,245
0.69,262
0.85,145
0.88,120
0.74,236
0.93,65
0.63,273
0.66,268
0.82,171
0.9,101
0.76,222
0.7,260
0.67,265
0.64,271
0.68,268
0.81,175
0.71,258
0.75,231
0.72,250
