P,num_trading_agents_CPP
0.0,0
0.01,77
0.04,223
0.03,145
0.05,209
0.21,418
0.02,121
0.29,470
0.25,443
0.31,477
0.2,402
0.16,344
0.22,422
0.44,496
0.45,496
0.23,431
0.15,335
0.34,483
0.38,493
0.39,493
0.41,494
0.26,448
0.43,495
0.35,486
0.52,497
0.37,492
0.17,361
0.59,499
0.3,474
0.32,479
0.07,242
0.18,381
0.19,385
0.24,438
0.49,496
0.58,499
0.27,460
0.96,500
0.97,500
0.46,496
0.06,222
0.99,500
1.0,42
0.98,500
0.28,467
0.42,494
0.14,329
0.12,311
0.36,493
0.4,493
0.67,499
0.09,275
0.47,494
0.13,319
0.08,255
0.51,497
0.61,499
0.33,481
0.66,499
0.74,500
0.1,289
0.11,299
0.54,499
0.56,498
0.55,499
0.57,499
0.8,500
0.85,500
0.53,496
0.79,500
0.48,497
0.65,499
0.6,499
0.76,500
0.86,500
0.77,500
0.69,499
0.75,500
0.7,499
0.68,499
0.73,500
0.62,499
0.63,499
0.82,500
0.95,500
0.72,499
0.71,499
0.81,500
0.64,499
0.83,500
0.5,498
0.78,500
0.91,500
0.89,500
0.87,500
0.88,500
0.84,498
0.92,500
0.93,500
0.9,499
0.94,500
