P,num_trading_agents_SM
0.01,12
0.04,38
0.03,29
0.05,47
0.21,191
0.02,20
0.29,256
0.25,225
0.31,271
0.2,184
0.16,147
0.22,196
0.44,349
0.45,353
0.23,203
0.15,142
0.34,289
0.38,322
0.39,321
0.41,335
0.26,231
0.43,340
0.35,296
0.52,369
0.37,310
0.17,153
0.59,379
0.3,267
0.32,279
0.07,68
0.18,165
0.19,174
0.24,212
0.49,359
0.58,378
0.27,238
0.96,59
0.97,41
0.46,350
0.06,56
0.99,14
0.98,30
0.28,244
0.42,337
0.14,136
0.12,116
0.36,305
0.4,333
0.67,350
0.09,86
0.47,352
0.13,124
0.08,77
0.51,370
0.33,279
0.61,389
0.66,357
0.74,293
0.1,95
0.11,106
0.54,374
0.56,378
0.55,377
0.57,379
0.8,233
0.85,184
0.53,370
0.79,240
0.48,361
0.65,365
0.6,385
0.76,275
0.86,169
0.77,263
0.69,339
0.75,282
0.7,332
0.68,343
0.73,306
0.62,386
0.63,380
0.82,217
0.95,70
0.72,314
0.71,323
0.81,225
0.64,374
0.83,207
0.5,367
0.78,255
0.91,114
0.89,140
0.87,163
0.88,150
0.84,195
0.92,107
0.93,92
0.9,126
0.94,81
