P,TV0
0.0,0.0
0.01,618.6817954842024
0.04,2984.430816692172
0.03,2011.6858829242697
0.05,3674.3142670971747
0.21,16335.814974718054
0.02,1280.9672226548512
0.29,22543.861236806155
0.25,19312.77118520278
0.31,24084.59312350327
0.2,15441.812908855907
0.16,12243.620759644726
0.22,17082.591960751597
0.44,34303.27143614815
0.45,35251.99854608166
0.23,17776.037668211146
0.15,11316.341915670391
0.34,26527.255584602957
0.38,29422.05991961791
0.39,30299.876745527545
0.41,32090.81425667421
0.26,20162.53028153441
0.43,33651.45968468415
0.35,27351.372201710416
0.52,40751.79313322345
0.37,28879.647428286513
0.17,13124.566777425782
0.59,46530.03915560621
0.3,23200.170941278633
0.32,24900.74057926768
0.07,5248.349047050866
0.18,13790.614851108472
0.19,14401.09640798892
0.24,18589.171693628326
0.49,38456.24787003205
0.58,45780.42047858808
0.27,20742.60023896719
0.96,76492.84354082365
0.97,77333.94046288305
0.46,35896.06285565754
0.06,4638.904247231131
0.99,78952.21678887297
1.0,79678.55921682257
0.98,78072.32826599106
0.28,21564.379119193163
0.42,32884.161611821095
0.14,10579.755845409218
0.12,9036.573371652448
0.36,28063.44666664877
0.4,31239.623123069578
0.67,53224.32497196542
0.09,6777.577616383569
0.47,36647.99168998883
0.13,9732.593778300905
0.08,6093.488571003409
0.51,40103.86041436944
0.61,48121.53383460251
0.33,25688.77957982575
0.66,52426.37924929716
0.74,58830.23210582414
0.1,7521.507446050373
0.11,8218.243062323658
0.54,42574.3263109218
0.56,44211.57607484231
0.55,43390.710972838875
0.57,44945.016858334246
0.8,63919.28729212208
0.85,67928.26795027044
0.53,41484.377735605674
0.79,63137.64950189131
0.48,37631.6600783918
0.65,51453.46323010621
0.6,47475.95709458906
0.76,60709.35260956953
0.86,68864.63086166966
0.77,61628.922707220205
0.69,54987.50620975689
0.75,59872.37621387266
0.7,55685.90949807719
0.68,54014.52613583553
0.73,58263.74579752273
0.62,49052.72841877707
0.63,49675.20889147895
0.82,65520.01144502491
0.95,75886.27022883589
0.72,57382.16448593991
0.71,56324.529674750884
0.81,64615.3176181913
0.64,50681.32526613171
0.83,66301.85413153608
0.5,39157.48377259517
0.78,62339.98580180053
0.91,72599.86225536405
0.89,70920.49927556109
0.87,69531.81117323023
0.88,70289.61982143868
0.84,66980.210367527
0.92,73239.49137698437
0.93,74116.1105249309
0.9,71779.37341107476
0.94,74896.5880510003
