P,num_trading_agents_SM
0.09,40
0.1,46
0.21,83
0.26,102
0.15,64
0.06,28
0.11,52
0.14,62
0.16,66
0.04,22
0.2,81
0.49,121
0.02,14
0.48,119
0.33,116
0.45,122
0.5,121
0.42,120
0.07,35
0.08,38
0.19,81
0.51,123
0.22,89
0.01,6
0.4,127
0.47,121
0.41,125
0.43,122
0.27,104
0.52,122
0.18,74
0.35,114
0.44,124
0.38,122
0.24,90
0.6,109
0.03,18
0.29,108
0.12,52
0.37,118
0.23,88
0.3,108
0.05,24
0.32,113
0.36,118
0.34,116
0.61,107
0.62,109
0.63,109
0.67,96
0.46,118
0.84,72
0.66,98
0.56,119
0.68,98
0.57,119
0.69,97
0.8,82
0.78,86
0.71,95
0.59,111
0.53,120
0.74,90
0.54,120
0.64,100
0.55,117
0.86,64
0.75,94
0.65,100
0.79,84
0.25,98
0.81,80
0.83,76
0.82,78
0.13,58
0.17,68
0.87,58
0.77,84
0.95,25
0.76,89
0.88,56
0.99,4
0.9,47
0.93,35
0.72,95
0.58,115
0.39,122
0.96,23
0.73,91
0.92,37
0.98,11
0.85,66
0.97,17
0.31,110
0.28,104
0.94,30
0.89,51
0.7,93
0.91,43
