P,num_trading_agents_CPP
0.0,0
0.09,63
0.1,72
0.21,144
0.26,150
0.15,93
0.06,45
0.11,81
0.14,104
0.16,113
0.04,34
0.2,171
0.48,258
0.49,264
0.45,269
0.02,22
0.33,239
0.5,267
0.42,258
0.51,233
0.07,54
0.08,58
0.19,152
0.22,141
0.01,11
0.4,216
0.41,215
0.47,262
0.43,199
0.27,176
0.52,230
0.18,108
0.35,177
0.44,200
0.38,191
0.24,150
0.6,237
0.03,28
0.29,172
0.12,86
0.37,186
0.23,128
0.3,158
0.32,241
0.36,186
0.05,39
0.34,244
0.61,237
0.62,239
0.63,245
0.67,210
0.46,208
0.84,159
0.66,221
0.57,222
0.56,223
0.68,213
0.69,209
1.0,416
0.8,154
0.71,199
0.78,163
0.59,230
0.53,232
0.74,225
0.54,200
0.64,238
0.55,194
0.86,154
0.75,225
0.65,236
0.79,159
0.25,153
0.81,152
0.83,142
0.82,148
0.13,102
0.17,102
0.77,156
0.87,137
0.76,186
0.88,134
0.95,63
0.9,115
0.99,33
0.72,231
0.93,87
0.58,240
0.39,191
0.96,51
0.73,229
0.92,98
0.85,164
0.98,28
0.97,38
0.31,179
0.28,146
0.94,72
0.89,119
0.7,204
0.91,109
