P,TV0
0.0,0.0
0.01,0.0
0.02,115.17975839228572
0.03,115.17975839228572
0.04,194.47992422801104
0.05,266.6476795720581
0.06,371.2800281445697
0.07,371.2800281445697
0.08,371.2800281445697
0.09,529.7181949758796
0.1,529.7181949758796
0.11,658.0829669247264
0.12,658.0829669247264
0.13,768.7812320602513
0.17,963.4867906334423
0.14,825.2906429606508
0.2,1292.8621164371093
0.19,1069.1317391481289
0.3,2062.121223170743
0.18,1069.1317391481289
0.15,825.2906429606508
0.27,1741.8296386679076
0.25,1563.2734393873793
0.16,963.4867906334423
0.29,2062.121223170743
0.31,2062.121223170743
0.41,2886.9133923989184
0.42,3124.3708043023157
0.4,2886.9133923989184
0.33,2259.3040041796135
0.21,1292.8621164371093
0.37,2593.4463509010557
0.32,2259.3040041796135
0.48,3602.3916441237957
0.35,2593.4463509010557
0.49,3602.3916441237957
0.44,3237.5476722481894
0.28,1741.8296386679076
0.46,3397.7418801616427
0.36,2593.4463509010557
0.24,1563.2734393873793
0.22,1475.1812546383715
0.34,2259.3040041796135
0.23,1475.1812546383715
0.43,3124.3708043023157
0.73,5514.005152748822
0.66,4864.020218752463
0.38,2746.906491670078
0.45,3237.5476722481894
0.67,5149.320065379746
0.68,5149.320065379746
0.47,3397.7418801616427
0.65,4864.020218752463
0.26,1741.8296386679076
0.64,4864.020218752463
0.71,5404.041573743752
0.69,5232.261124110131
0.72,5404.041573743752
0.5,3743.876811054708
0.76,5677.16034174576
0.39,2886.9133923989184
0.55,4029.0338061142475
0.7,5232.261124110131
0.78,5857.358319500654
0.81,6030.039317457773
0.75,5677.16034174576
0.92,6866.327252053125
0.51,3743.876811054708
0.57,4326.624228803905
0.59,4409.289601344589
0.61,4409.289601344589
0.8,6030.039317457773
0.54,4029.0338061142475
0.74,5514.005152748822
0.58,4326.624228803905
0.52,3952.775856552317
0.62,4669.115658807042
0.79,5857.358319500654
0.77,5793.518546405334
0.97,7225.904161490131
0.53,3952.775856552317
0.98,7225.904161490131
0.6,4409.289601344589
0.56,4233.753929694792
0.99,7403.42543795251
0.85,6333.090752273849
0.9,6726.879590031143
1.0,7524.293391072258
0.84,6333.090752273849
0.82,6030.039317457773
0.94,7064.871821428883
0.87,6540.683672558691
0.91,6811.943631590357
0.89,6726.879590031143
0.86,6540.683672558691
0.88,6619.8295237097755
0.96,7064.871821428883
0.93,6866.327252053125
0.83,6269.844053798652
0.95,7064.871821428883
0.63,4669.115658807042
