P,num_trading_agents_BM
0.02,2
0.03,2
0.04,5
0.05,7
0.06,9
0.07,8
0.08,8
0.09,11
0.1,10
0.11,12
0.12,12
0.13,16
0.14,16
0.15,16
0.16,14
0.17,13
0.18,18
0.19,16
0.2,20
0.21,18
0.22,21
0.23,21
0.24,23
0.25,21
0.26,23
0.27,23
0.28,23
0.29,26
0.3,27
0.31,28
0.32,24
0.33,25
0.34,24
0.35,27
0.36,25
0.37,27
0.38,26
0.4,32
0.41,31
0.42,32
0.43,28
0.44,33
0.45,28
0.46,33
0.47,34
0.48,32
0.39,30
0.51,35
0.49,28
0.52,33
0.54,37
0.53,34
0.5,30
0.55,33
0.56,30
0.59,28
0.57,33
0.63,32
0.61,29
0.64,33
0.65,32
0.66,34
0.68,32
0.67,30
0.7,29
0.69,30
0.71,29
0.73,27
0.72,32
0.74,28
0.62,32
0.76,24
0.75,27
0.77,26
0.78,25
0.79,23
0.81,21
0.83,18
0.8,20
0.82,23
0.84,16
0.87,14
0.86,14
0.58,35
0.6,32
0.9,9
0.93,11
0.94,9
0.88,11
0.92,11
0.95,6
0.96,8
0.98,5
0.91,9
0.97,6
0.99,3
0.03,3
0.02,2
0.05,6
0.08,8
0.06,9
0.1,10
0.07,9
0.89,10
0.09,10
0.11,13
0.04,4
0.14,18
0.85,18
0.12,13
0.15,16
0.13,13
0.17,15
0.22,18
0.16,16
0.2,18
0.19,19
0.21,19
0.25,22
0.23,17
0.28,21
0.24,23
0.18,17
0.26,24
0.3,23
0.31,25
0.29,24
0.27,26
0.35,23
0.36,26
0.34,25
0.39,30
0.4,30
0.41,29
0.32,24
0.37,26
0.33,25
0.42,26
0.43,29
0.47,31
0.46,33
0.48,30
0.38,27
0.45,31
0.44,29
0.49,33
0.51,36
0.53,34
0.54,33
0.52,33
0.56,35
0.55,34
0.59,33
0.5,26
0.57,34
0.61,32
0.58,31
0.62,30
0.6,31
0.65,33
0.66,34
0.63,32
0.68,32
0.71,29
0.69,32
0.7,33
0.72,31
0.74,27
0.73,29
0.78,22
0.79,22
0.8,19
0.81,21
0.82,22
0.83,18
0.75,26
0.84,16
0.64,32
0.87,13
0.88,10
0.89,9
0.9,10
0.91,10
0.76,22
0.85,13
0.92,9
0.94,7
0.96,8
0.95,7
0.97,6
0.98,6
0.99,2
0.02,2
0.04,5
0.03,2
0.05,7
0.93,11
0.06,8
0.08,10
0.07,9
0.11,12
0.12,12
0.13,13
0.1,10
0.15,15
0.14,16
0.16,13
0.18,16
0.17,15
0.19,16
0.67,32
0.09,10
0.86,12
0.22,23
0.24,22
0.26,21
0.27,23
0.28,22
0.25,21
0.29,27
0.31,29
0.34,25
0.35,27
0.33,26
0.23,19
0.32,25
0.77,26
0.38,27
0.39,24
0.36,24
0.37,25
0.41,29
0.3,26
0.43,30
0.42,26
0.4,30
0.46,32
0.44,30
0.47,29
0.48,33
0.5,33
0.51,34
0.53,33
0.49,31
0.52,32
0.2,18
0.58,31
0.59,32
0.6,31
0.62,34
0.61,30
0.64,34
0.66,32
0.63,34
0.67,31
0.55,35
0.7,29
0.57,29
0.65,31
0.71,30
0.69,32
0.72,30
0.45,27
0.73,27
0.76,26
0.75,26
0.78,23
0.8,22
0.79,22
0.74,28
0.81,20
0.77,24
0.83,18
0.82,18
0.85,16
0.89,10
0.88,14
0.9,9
0.84,17
0.93,11
0.91,9
0.92,9
0.87,12
0.95,7
0.97,5
0.99,3
0.98,5
0.94,8
0.03,2
0.86,12
0.02,2
0.06,8
0.04,4
0.96,7
0.05,6
0.08,9
0.07,10
0.54,36
0.09,10
0.21,18
0.1,10
0.56,29
0.11,13
0.12,12
0.13,14
0.14,15
0.16,15
0.17,13
0.15,17
0.2,18
0.18,16
0.22,21
0.19,16
0.21,18
0.24,23
0.25,24
0.28,23
0.29,27
0.26,23
0.3,24
0.27,24
0.31,26
0.32,26
0.68,33
0.33,24
0.23,20
0.34,25
0.35,25
0.39,29
0.37,25
0.38,28
0.36,26
0.4,29
0.42,30
0.41,28
0.47,33
0.46,33
0.48,34
0.49,33
0.51,30
0.52,33
0.43,28
0.5,35
0.44,30
0.56,28
0.53,33
0.59,33
0.6,33
0.61,30
0.58,31
0.62,33
0.55,34
0.63,35
0.54,32
0.57,33
0.64,32
0.65,36
0.69,28
0.66,36
0.67,33
0.68,30
0.7,31
0.72,30
0.71,29
0.73,27
0.75,28
0.74,29
0.76,27
0.77,25
0.79,21
0.82,20
0.81,21
0.8,18
0.83,18
0.9,10
0.86,14
0.89,8
0.87,14
0.91,9
0.88,12
0.78,22
0.92,11
0.93,11
0.85,13
0.45,30
0.95,8
0.84,16
0.96,6
0.97,5
0.94,8
0.98,5
0.02,2
0.04,5
0.03,2
0.06,8
0.05,6
0.07,8
0.08,8
0.13,14
0.15,16
0.14,16
0.12,13
0.11,12
0.17,14
0.18,16
0.16,14
0.19,16
0.2,19
0.21,19
0.1,10
0.23,21
0.09,11
0.24,22
0.22,21
0.25,22
0.26,26
0.27,25
0.3,24
0.31,25
0.29,28
