P,num_trading_agents_SM
0.02,2
0.03,2
0.04,4
0.05,6
0.06,8
0.07,8
0.08,8
0.09,10
0.1,10
0.11,12
0.12,12
0.13,14
0.17,13
0.14,15
0.2,17
0.19,16
0.3,24
0.18,16
0.15,15
0.27,22
0.25,20
0.16,13
0.29,24
0.31,24
0.41,26
0.42,25
0.4,26
0.33,22
0.21,17
0.37,23
0.32,22
0.48,26
0.35,23
0.49,26
0.44,25
0.28,22
0.46,26
0.36,23
0.24,20
0.22,18
0.34,22
0.23,18
0.43,25
0.73,27
0.38,24
0.67,30
0.68,30
0.47,26
0.65,31
0.26,22
0.64,31
0.45,25
0.66,31
0.69,28
0.72,29
0.5,27
0.71,29
0.39,26
0.7,28
0.78,26
0.81,22
0.55,28
0.75,25
0.92,10
0.51,27
0.57,27
0.59,27
0.76,25
0.61,27
0.8,22
0.54,28
0.74,27
0.58,27
0.52,28
0.62,29
0.97,6
0.53,28
0.98,6
0.6,27
0.56,27
0.77,27
0.99,3
0.79,26
0.85,18
0.9,10
0.82,22
0.84,18
0.94,8
0.87,16
0.89,10
0.91,10
0.86,16
0.88,13
0.96,8
0.93,10
0.83,19
0.95,8
0.63,29
