Smart Market Mean,Smart Market Min,Smart Market Max
0,0,0
438.3154797479733,306.28283480298774,578.427248761514
683.1101632467157,537.1386544364236,962.9473355542209
845.1787880427418,612.0754968145388,1157.5454206253266
931.9838657533469,664.8991794168596,1311.0801844555058
1067.5193086918227,798.595179821375,1529.469080936747
1264.6489401206275,948.8501105837959,1654.1065883831052
1423.9580226701562,1169.9268301885486,1903.2280387730198
1632.602131413573,1278.9254123656356,2208.8941829259675
1774.506122551678,1376.7997702786824,2223.1701386584127
1879.7784591928719,1439.5416319160504,2370.405753592031
1926.175749796342,1429.9229340990823,2360.445315824025
2035.9894364537572,1627.1149833773325,2571.3753357140595
2206.8177631307217,1676.0350263651671,2666.1521567177697
2504.8599926522743,2044.117463988554,2994.333930191933
2558.3121145658565,2083.7336083905284,3029.5731577069073
2584.1976956904514,2089.1297563165463,3022.3192643274197
2615.583151423175,2020.1528846332185,3112.7687935386166
2652.877141376487,2082.069125718568,3231.3604905238208
2787.6037579407484,2023.4314314629446,3390.958973959325
2919.978176351021,2188.635777016456,3612.017582106413
3126.2668159255663,2346.005009841745,3874.880589793971
3138.3525584376684,2369.7200421827256,3714.2378487216374
3180.707378409656,2409.0430103182334,3788.04337334873
3229.799130608357,2354.304156208458,3776.5858644967666
3245.8291940352215,2560.897518497597,3840.3636717838126
3315.019582717051,2613.81845821597,4017.4087956332114
3368.6741362697594,2598.3062105661156,4154.537214127267
3371.007297418826,2754.7484936944384,4281.981691676148
3541.946424968158,2732.8603684228183,4319.440668716288
3635.2418299149813,2934.5997037989328,4342.631164585684
3693.9592938461205,2952.6163576186264,4427.42124169242
3686.0966387653607,2915.8567944546485,4352.431296354673
3590.1252546864234,2663.140206304968,4437.875987345433
3573.855093217915,2675.170042470061,4526.472818494905
3545.6440402208655,2516.885297531382,4359.079106896734
3484.629646366404,2568.1134709814505,4439.536031285621
3510.512818684697,2645.4523157347576,4314.907436183559
3680.41650899422,2765.063339169581,4585.134813839006
3686.676700805389,2744.823642662639,4673.822502412775
3835.310807093604,2985.6052158669154,4953.025934297559
3843.6682434930967,2860.637549796342,5064.570564954043
3726.1393891475623,2848.5109126831885,4759.490616534145
3771.0846340267167,2809.882405286975,4844.4503006903105
3751.1542963042275,2824.388491228703,4696.554819507583
3831.0791459837155,2851.7890865052977,4685.822483418451
3814.4007540372895,2853.8662469132687,4836.794458836914
3761.367390548606,2606.4762610354155,4708.829388274193
3824.2510133186915,2744.5517675896117,4683.225098894225
3781.878527617885,2775.663132883419,4747.69921178629
3645.89036518434,2469.6378758558276,4715.813847979436
3654.125016732334,2367.577224554181,4688.096280342848
3593.930595603308,2487.992446313656,4451.350693746717
3589.192020481448,2643.118873434585,4507.168575537253
3559.0887516908474,2702.057132860813,4415.207516228038
3545.4884693243766,2684.7384908780878,4322.680964469349
3498.6742434627376,2776.464500731803,4313.583299572616
3408.713680824433,2610.386335286843,4281.6900922323475
3288.474924517608,2411.3307228332924,4154.581316214375
3196.289817426795,2286.336788296074,4032.0585773201383
3059.828088256986,1988.1583458137611,4065.554004436046
2946.5181337967783,1791.8399663641394,3853.3314901233825
2801.2610783011464,1777.2335353871822,3684.755546762339
2710.098475466543,1551.08912399986,3580.4750776323854
2581.049959539003,1469.3508039388616,3345.4774269229674
2540.3392153701466,1553.471638779578,3207.298500456942
2484.0239414085677,1444.1511606510467,3272.6293342076387
2313.260646455322,1232.1795571362309,3176.173285900237
2252.069178575188,1278.4155420651732,2932.9683040117816
2156.626698886765,1163.5985213852546,2866.9180234118394
2186.4535088107436,1138.979582516993,2946.105922617113
2145.077049576554,1254.336352508617,2994.8381398514393
2092.520662965285,1221.6944960643013,2913.720851597078
1988.5644826286477,1036.019738594252,2752.7665884309754
2016.6585827402323,1220.5974769005988,2935.276126669094
2052.863933149975,1234.462149205996,2944.2605475707387
2052.927253935175,1365.1028172590813,3159.578887520205
1990.2563726079984,1333.8927593437256,2887.548229775428
1880.7619254503807,1188.3375239379384,2843.7064615448107
1882.8835426998558,1234.433948359736,2927.525915588798
1784.2246873969675,1170.4947364191248,2760.0366992061827
1727.726316073243,1147.050062379727,2648.2394961677346
1657.9692118094938,944.5954179627442,2463.4552562671306
1644.190042891053,866.5510463160899,2337.6929419122025
1538.1890703728998,774.0813021795766,2198.199431983885
1321.2019938510732,752.1784117713541,1949.591915399491
1284.007414401651,626.0571519712248,1812.7885195238196
1178.0494584782143,601.5739350834192,1788.076641363019
1203.6182475044675,633.630730165125,1792.5944873080734
1198.0234531204876,605.125107256943,1665.3330257055786
1229.5297427322157,643.4491624854418,1711.8239690437767
1043.6747205216277,547.5787276880001,1576.0406560414995
1006.0564853487349,535.644300121261,1392.7554301117925
1035.2717203074958,624.9255019607372,1492.7783691920922
908.4371197629738,471.38779066894494,1298.1478966513096
843.7613772764306,438.36010359560896,1212.9993646744115
633.8654010493516,218.21364296242245,882.7303569375363
510.91011814347,188.91761193604907,732.4799961167009
423.7031919953179,176.0846958643524,650.6331240809377
214.1922780117573,-131.96064148609003,367.48642879385443
0.0,0.0,0.0
