P,TV0
0.0,0.0
0.58,46459.96169231891
0.56,44766.44869260158
0.54,43166.56443969838
0.41,32869.324670522255
0.4,32101.418532190382
0.01,788.0978227446568
0.44,35177.7562962057
0.52,41676.317016873865
0.46,36894.679739170904
0.5,40094.6594316194
0.42,33773.925001745214
0.43,34567.780130739
0.38,30275.446215249278
0.47,37636.20536474335
0.37,29531.743382086006
0.55,43797.92004898592
0.59,47191.75027736736
0.39,31187.515969035023
0.02,1665.3263937534566
0.35,27945.276982510928
0.48,38504.7794023313
0.49,39364.62241313838
0.57,45608.4517946738
0.53,42344.89541504073
0.28,22406.752232642313
0.62,49586.80299815678
0.61,48908.24106279622
0.6,48135.68173145076
0.03,2301.8989339070567
0.67,53608.701565606505
0.3,24112.83004208654
0.25,19780.565872629548
0.23,18411.92063637997
0.26,20663.026978249956
0.24,19019.379424657687
0.2,15913.614257839905
0.29,23206.844899350494
0.33,26353.223460057758
0.32,25687.3614720649
0.66,52699.82509644667
0.97,77945.97426709876
0.88,70653.74717830452
0.65,51946.447636557285
1.0,80142.43112968729
0.87,69958.36279689829
0.9,72374.2902755347
0.45,36032.1147958056
0.95,76291.28282178253
0.94,75614.06943052827
0.86,69088.14154146596
0.85,68394.34102699354
0.93,74883.31882920083
0.51,40716.50945928052
0.96,77100.16641802005
0.98,78799.23583510822
0.99,79291.31151747477
0.89,71515.95033381984
0.27,21630.999096754065
0.84,67608.58876630242
0.64,50974.5293803856
0.17,13510.392671093607
0.31,25000.368132063406
0.21,16733.639419463965
0.81,65218.35690937822
0.36,28812.96735849214
0.34,27149.93639032112
0.75,59965.182217331945
0.63,50218.556657942485
0.91,73145.0906262337
0.8,64159.467634524764
0.78,62420.364916309474
0.22,17429.066516102932
0.68,54376.59353067503
0.76,60556.18477327235
0.72,57732.06147153881
0.74,59105.24985065816
0.15,11960.906834389345
0.04,3361.1856115417568
0.92,74015.66266582499
0.16,12700.79181511204
0.13,10443.629929654988
0.73,58407.08502731026
0.69,55165.53311319346
0.82,66052.43943141532
0.14,11197.85752467735
0.08,6335.472903182589
0.79,63277.07528593483
0.7,55988.78902452134
0.07,5458.272686737295
0.18,14373.933520515273
0.05,4033.811697455264
0.77,61598.10305859944
0.1,7840.375280227911
0.83,66849.75657047993
0.71,56778.74916260026
0.11,8778.949803126688
0.09,7152.9184511866115
0.19,15098.907135968264
0.12,9610.553332432657
0.06,4679.1517177393725
