P,num_trading_agents_CPP
0.0,0
0.58,487
0.56,491
0.54,486
0.41,472
0.4,472
0.01,27
0.44,478
0.52,493
0.46,481
0.5,490
0.42,474
0.43,476
0.38,467
0.47,487
0.37,467
0.55,486
0.59,488
0.39,469
0.02,61
0.35,453
0.48,484
0.49,491
0.57,490
0.53,489
0.28,426
0.62,492
0.61,489
0.6,494
0.03,82
0.67,479
0.3,432
0.25,399
0.23,381
0.26,404
0.24,392
0.2,362
0.29,430
0.33,439
0.32,438
0.66,489
0.97,291
0.88,471
0.65,480
1.0,444
0.87,470
0.9,443
0.45,481
0.95,327
0.94,321
0.86,470
0.85,467
0.93,389
0.51,475
0.96,268
0.98,278
0.99,173
0.89,471
0.27,417
0.84,469
0.64,489
0.17,333
0.31,438
0.21,366
0.81,430
0.36,458
0.34,442
0.75,445
0.63,487
0.91,397
0.8,430
0.78,436
0.22,373
0.68,474
0.76,440
0.72,449
0.74,437
0.15,311
0.04,110
0.92,372
0.16,321
0.13,277
0.73,448
0.69,473
0.82,429
0.14,293
0.08,204
0.79,432
0.7,461
0.07,194
0.18,349
0.05,132
0.77,439
0.1,229
0.83,423
0.71,454
0.11,240
0.09,214
0.19,358
0.12,253
0.06,166
