P,num_trading_agents_SM
0.58,306
0.56,306
0.54,308
0.41,287
0.4,281
0.01,8
0.44,293
0.52,307
0.46,289
0.5,305
0.42,291
0.43,294
0.38,274
0.47,300
0.37,276
0.55,307
0.59,304
0.39,279
0.02,17
0.35,264
0.48,306
0.49,309
0.57,305
0.53,309
0.28,227
0.62,304
0.61,308
0.03,25
0.6,306
0.3,235
0.25,214
0.23,203
0.67,292
0.26,223
0.24,207
0.2,179
0.29,233
0.33,248
0.32,244
0.66,302
0.97,39
0.88,148
0.65,304
0.87,159
0.9,123
0.45,293
0.95,63
0.94,77
0.86,170
0.85,180
0.93,91
0.51,303
0.96,48
0.98,25
0.99,13
0.89,138
0.27,223
0.84,191
0.64,302
0.17,154
0.31,240
0.21,188
0.81,216
0.36,270
0.34,254
0.75,255
0.63,304
0.91,110
0.8,223
0.78,244
0.22,192
0.68,283
0.76,251
0.72,265
0.74,263
0.15,135
0.04,36
0.92,101
0.16,143
0.13,114
0.73,267
0.69,282
0.82,210
0.14,125
0.08,76
0.79,233
0.7,281
0.07,66
0.18,163
0.05,45
0.77,248
0.1,88
0.83,198
0.71,271
0.11,99
0.09,81
0.19,171
0.12,105
0.06,55
