Bilateral Market Min,Bilateral Market Max
0.0,0.0
191.0842215280701,471.92889439354826
504.7392143388531,804.3108470908485
657.3897959519959,1093.871724467665
1086.6400334699847,1493.1844379635559
1331.027164953292,1838.1387646398157
1652.2880736361976,2151.192309592094
1662.9760653691628,2295.228780293859
1916.4764372255831,2680.5243953723184
2003.4608330443825,2621.8645449173164
2293.135007388608,2882.4316664733396
2310.620827826702,2989.7649095179313
2474.170064442913,3301.5602626708715
2669.519491039224,3355.410029035469
2727.546367587147,3484.9187440180594
2972.383477058316,3759.575557034379
3089.830229888532,3834.903010889406
2939.7562304167095,4040.7232406104686
3263.8832633988386,4153.422267366957
3309.5342730922057,4084.3361513939235
3419.212376881136,4214.55254056925
3129.2845501937445,4316.957654027723
3297.9168645408427,4393.415541309863
3437.24945478297,4394.721818346887
3389.773254633161,4312.910664321273
3452.147784284636,4411.729821093086
3589.8731275361824,4585.376672028706
3628.4487740323057,4700.367065836006
3683.43782596237,4895.054823237453
4099.060910927834,5034.4923347913755
3832.7222724895073,4945.387056217929
4013.4264939768145,4968.6184287427495
3848.9701543720075,5006.560117838915
4082.8240906695137,4924.735180628817
4071.42931088548,4961.454057308831
3973.199586363531,4882.047771788995
4093.665247240522,5001.93308360306
4292.396028805168,5032.8690998572565
4118.202785547652,4873.31557135539
3726.559430854788,4802.693690248016
3715.784673273949,4662.635360906272
3851.34672445296,4673.320457657675
3747.329895508745,4503.719415417276
3480.56108211237,4495.098913905014
3468.3508069429736,4258.65364758682
3453.7696070378224,4181.141070873135
3349.8608280486005,4211.666610190034
3284.3585741051647,4148.413400212783
3110.9915418168603,3884.4437138687354
2948.8509284377433,3689.130266477623
2972.366626813171,3496.48937594796
2828.9644269526107,3514.791213550132
2980.065707138463,3593.5866104325833
2856.6250528515375,3509.727237908577
2493.4532057975157,3297.2117296087526
2570.322462263619,3242.776198342537
2448.2288688503395,3107.898169428692
2432.584872832238,3093.3218609096
2420.288603683366,2981.6805425062994
2226.7389838688323,2846.5938469589382
2029.7577294538714,2673.194068175457
1938.4358800712362,2603.48211032377
1978.138264005116,2485.2995446790883
1808.8586604866214,2473.5854935573007
1608.5405965023892,2171.045942136261
1714.1619329073146,2345.0969311030058
1607.7885847995858,2259.566498885244
1667.935332679379,2171.0219107899684
1591.2989571505605,2172.960471260012
1500.7689674126887,2059.064720517308
1327.1535398274136,1997.8123369941168
1261.6673481470934,2070.5930746440354
1282.1118936431958,2141.8271764869787
1441.5906459268735,2044.9705067008836
1362.0477151155064,2017.034120332406
1437.6814339717457,1920.5015019234706
1402.7014770751775,2019.1702140699635
1381.2040391902992,1858.1445576093975
1355.9751183095432,1787.893411129291
1388.3432609036972,1931.5939207798729
1414.6564128134414,1927.4910996385297
1373.6082181953825,1757.196424567257
1236.2901964246557,1539.4431509909773
984.3416087048099,1349.3448211462091
917.0763876769779,1111.6598005296692
767.0798413945886,1060.89157121483
760.8518087447446,1152.4361414067826
764.3891029754886,1164.228967171046
723.7477179877751,1066.3499832487723
594.6446121484187,903.5798686687922
499.5487783523422,771.0581431502651
391.9102428233018,529.7427028352686
344.4241078461637,482.1701793371176
180.05118973652134,330.3474718428042
160.62897311410052,223.18641631217906
24.001626174751436,37.16962667684129
64.35650321339199,132.05942245491315
174.6967481472966,364.6563469446701
31.566402745695086,70.59239897073712
0.0,0.0
0.0,0.0
