P,num_trading_agents_SM
0.02,20
0.01,10
0.09,84
0.16,136
0.03,30
0.15,128
0.04,37
0.06,58
0.4,290
0.07,65
0.42,302
0.41,297
0.44,311
0.08,74
0.43,306
0.2,168
0.26,202
0.37,277
0.27,209
0.38,281
0.17,146
0.13,115
0.12,107
0.14,120
0.23,186
0.31,240
0.19,163
0.29,225
0.35,268
0.28,218
0.24,190
0.05,46
0.33,249
0.25,192
0.18,154
0.22,182
0.21,178
0.6,299
0.62,287
0.47,319
0.67,273
0.72,249
0.53,320
0.69,260
0.7,260
0.36,269
0.48,318
0.57,315
0.63,287
0.73,246
0.87,145
0.75,233
0.54,319
0.81,199
0.46,315
0.77,229
0.64,287
0.71,250
0.32,243
0.56,316
0.65,280
0.59,306
0.8,208
0.58,311
0.61,295
0.93,91
0.3,233
0.66,274
0.86,154
0.68,269
0.45,311
0.89,132
0.88,139
0.91,112
0.92,102
0.95,64
0.11,99
0.52,318
0.34,257
0.84,168
0.55,315
0.76,228
0.98,28
0.94,78
0.97,39
0.82,185
0.39,290
0.51,311
0.83,179
0.96,52
0.74,243
0.99,17
0.1,94
0.85,161
0.49,316
0.5,316
0.9,122
0.78,226
0.79,220
