P,num_trading_agents_CPP
0.02,331
0.0,0
0.01,61
0.09,236
0.16,310
0.03,179
0.15,305
0.04,168
0.06,198
0.4,446
0.07,214
0.42,450
0.41,449
0.44,461
0.08,233
0.43,450
0.2,351
0.26,387
0.37,432
0.27,391
0.38,435
0.17,317
0.13,291
0.12,283
0.14,299
0.23,363
0.31,409
0.19,348
0.29,401
0.35,423
0.28,394
0.24,376
0.05,172
0.33,414
0.25,378
0.18,327
0.22,356
0.21,352
0.6,483
0.62,484
0.47,465
0.67,487
1.0,210
0.72,488
0.53,474
0.69,485
0.7,484
0.36,424
0.48,466
0.57,483
0.63,485
0.73,486
0.87,495
0.75,489
0.54,478
0.81,492
0.46,464
0.77,487
0.64,485
0.71,485
0.32,414
0.56,480
0.65,485
0.59,482
0.8,489
0.58,483
0.61,483
0.93,497
0.3,407
0.66,486
0.86,494
0.68,484
0.45,461
0.89,496
0.88,495
0.91,497
0.92,497
0.95,499
0.11,268
0.52,468
0.34,418
0.84,496
0.55,478
0.76,490
0.98,499
0.94,498
0.97,499
0.82,493
0.39,435
0.51,471
0.83,496
0.96,499
0.74,489
0.99,499
0.1,254
0.85,495
0.49,467
0.5,467
0.9,496
0.78,489
0.79,489
