Central Planning Mean,Smart Market Mean ,Bilateral Market Mean
-5.921449698855134e-07,0.0,0.0
1001.5731872372075,544.4421040460292,276.9141154998586
1945.091210834254,942.804581837707,468.0573936231207
2670.3633823598325,1102.5863356551622,584.1380051915983
3553.340467686119,1464.8003872363192,780.1706118543171
4424.9177681909,1938.3120827850967,1064.196870664751
5003.090677026788,2055.296854486962,1207.9368897377751
5698.782838403512,2450.9989917801104,1397.858507388139
6302.823606241708,2842.7214427441686,1642.1686254856895
6890.861173778407,2998.7067192790983,1776.8604716975128
7632.073254473421,3256.783976355152,1898.2565415506679
8179.551247615345,3390.067689756959,2025.2279970335437
8958.332572913141,3735.865673858256,2264.3735601100025
9491.941380678187,3948.224507340039,2436.182579568304
10310.69561055231,4439.014134606143,2677.966825920288
10840.873980615386,4741.4277725093125,2810.1284762566543
11202.664449014028,4886.249112301157,2889.8686474918054
11756.90803542802,5025.986302930894,3044.724707393822
12381.563664279161,5304.551425319096,3286.220638293798
12862.082181069953,5445.007057711755,3450.653289114604
13418.96720025396,5620.223652330416,3633.5017940320395
13506.816035808522,5512.827524838198,3654.694033759231
13948.249752947484,5679.447886061163,3731.1568921321177
14248.895042404652,5724.789127426338,3843.0671811485854
14670.0579828007,5840.681023527519,3963.5407692441527
14968.19603882793,5969.769140406188,4168.304611852373
15401.965650049951,6141.610582819452,4271.3803742282325
15895.867946551014,6300.7765209708705,4373.288699418622
16163.019350087867,6424.777485144554,4435.9912790188855
16528.280166492215,6841.644910662064,4630.524745949868
16939.74753021879,6967.1092371723935,4767.316982135759
17103.574914427856,7035.699524501262,4852.332937326552
17363.422435173514,7110.070312179225,4857.534201690313
17923.061224490142,7270.186919731183,5102.413249340577
18138.74134188122,7384.207968030318,5121.650473022401
18344.173643229333,7611.391860680371,5276.294419652499
18497.829987996483,7577.233206008146,5305.704904619363
18867.557750443764,7927.263340350139,5505.147776713991
18987.049930168298,7996.527665743892,5561.883311955756
19180.69681378605,7994.200272995367,5662.156484516305
19421.537924544024,8072.027984001936,5755.841781852796
19355.349122800097,8028.150368658738,5698.687156367506
19323.334146962436,7901.477813367608,5701.644430173169
19270.241912191515,7916.845933887838,5666.60154322314
19441.06776764057,8055.032259205465,5693.965226440985
19414.271768113933,8050.816226141418,5706.435176424962
19459.83215467539,8090.921207001804,5788.19581989925
19589.740868925168,8211.853173900134,5895.960719316228
19483.50705668056,8119.781739016791,5820.635581223432
19409.23375559195,8174.242382616278,5762.69006768564
19315.06044551896,7891.41860479684,5661.07728318928
19081.371938366574,7891.193364275248,5560.332049931716
18938.970218354287,7900.918146481992,5527.830002733289
18949.403520252406,7918.955798984178,5587.520323026512
19015.26638061786,7863.014440817882,5559.518097026374
18864.36934888732,7889.801173305401,5530.006553201226
18762.40034531075,7783.663301330373,5444.844741783482
18688.22553701933,7746.284092859045,5533.815759361232
18527.421408051152,7794.692909402642,5463.001197018907
18389.358370005724,7747.160823187645,5412.811013424441
18333.26919816703,7696.670946278318,5353.215230242376
18242.18964829603,7795.441600396822,5212.565306680481
18027.878006605602,7564.77607441102,5183.031431517998
17886.668415568845,7393.404307729368,5109.271665246914
17839.24673650074,7496.831531777658,5131.261086314013
17541.5775010528,7275.278597432327,5003.310971300494
17144.664803969903,6938.823473799865,4838.869953029657
16966.645357194,6949.0825651705745,4756.446042463801
16644.088352084185,6851.475751294798,4714.174753402446
16499.046882633673,6938.401782753266,4666.107059476944
16257.095321587083,6774.852759777459,4582.143794464048
16035.949243675375,6759.169000862683,4508.266398365966
15656.417361633743,6572.055112995789,4365.534305912085
15326.446346347366,6450.794287349403,4239.934664177988
14775.341135697416,6111.230496976968,4037.370251627994
14294.760259263607,5884.049870143521,3854.1767744499098
13813.324982574852,5739.965955529042,3684.3970053794924
13474.086473470274,5666.593387216504,3684.804764709949
13025.952920081212,5503.42127738765,3570.430667129218
12433.642184164757,5225.074716044823,3362.882458965393
12088.926163760356,5150.677536489813,3318.0878825116297
11546.296827364216,4981.4986991726255,3187.8446550752474
11365.3343438658,4963.287777594436,3240.30597768249
10952.795755501562,4813.734262054175,3140.600964526083
10407.130656069008,4535.297129761835,3009.352308054461
9874.370732776932,4248.723892704074,2854.9951856526536
9322.677566026769,4008.9118653437763,2571.928030022821
8664.017567868985,3729.7162921400304,2371.7742217894956
8183.391211571299,3444.084746890483,2257.4233375095077
7396.588964835278,3034.2090919494804,2017.0653254042588
6731.323829008196,2798.2447194222477,1858.5030712192543
6104.609145333453,2542.283279883064,1651.1711583535744
5539.372654920548,2314.6120727917587,1491.3024198429828
4882.924567919627,2047.6279173260555,1272.038558199556
4297.506350703788,1860.614860462476,1151.4697904559505
3566.9725903250346,1499.5062276601238,951.6310723375952
2997.7152743988877,1260.086849612926,839.7161196121119
2280.989022773649,964.8246817978652,581.1111095723084
1640.5481116264875,717.6388019700098,424.36552813443575
852.6177590719518,364.29759292150266,234.5606703311161
-5.727856786563734e-05,0.0,0.0
