P,num_trading_agents_CPP
0.0,0
0.56,499
0.59,499
0.54,497
0.55,497
0.52,497
0.61,499
0.51,495
0.42,493
0.21,393
0.46,494
0.48,495
0.01,57
0.41,494
0.32,470
0.58,499
0.53,495
0.62,499
0.4,492
0.33,479
0.31,469
0.57,498
0.36,483
0.37,487
0.5,495
0.82,500
0.47,493
0.6,498
0.39,488
0.43,494
0.02,100
0.88,500
0.16,345
0.85,500
0.03,115
0.89,500
0.18,374
0.87,500
0.15,334
0.91,500
0.92,451
1.0,380
0.22,406
0.98,322
0.8,500
0.96,391
0.35,481
0.95,392
0.83,500
0.23,410
0.38,488
0.13,309
0.84,500
0.14,324
0.12,301
0.17,353
0.7,500
0.9,500
0.3,468
0.81,500
0.94,453
0.86,500
0.69,500
0.49,496
0.76,498
0.93,444
0.77,498
0.29,450
0.64,500
0.2,390
0.99,250
0.28,447
0.97,392
0.45,494
0.79,500
0.67,500
0.72,500
0.73,500
0.19,383
0.75,499
0.34,481
0.26,428
0.71,500
0.65,500
0.06,213
0.04,160
0.05,184
0.07,231
0.78,500
0.44,494
0.08,241
0.66,500
0.09,256
0.74,499
0.25,421
0.27,438
0.68,500
0.24,419
0.63,500
0.1,276
0.11,294
