P,num_trading_agents_SM
0.56,342
0.59,334
0.54,346
0.55,346
0.52,344
0.61,341
0.51,344
0.42,327
0.21,183
0.46,337
0.01,10
0.48,345
0.41,328
0.32,266
0.58,338
0.53,342
0.62,337
0.4,325
0.33,274
0.31,258
0.57,342
0.36,291
0.37,304
0.5,348
0.82,203
0.47,341
0.6,336
0.39,318
0.43,334
0.02,20
0.88,143
0.16,148
0.85,173
0.03,28
0.89,130
0.18,163
0.87,153
0.15,141
0.91,109
0.92,97
0.22,193
0.98,27
0.8,220
0.96,53
0.35,284
0.95,63
0.83,195
0.23,197
0.38,309
0.13,122
0.84,183
0.14,133
0.12,114
0.17,155
0.7,304
0.9,120
0.3,251
0.81,211
0.94,78
0.86,165
0.69,314
0.49,348
0.76,261
0.93,91
0.77,253
0.29,244
0.64,330
0.2,181
0.99,14
0.28,234
0.97,40
0.45,339
0.79,230
0.67,312
0.72,295
0.19,173
0.73,292
0.75,268
0.34,278
0.26,219
0.71,301
0.65,325
0.06,56
0.04,36
0.05,49
0.07,67
0.78,241
0.44,341
0.08,77
0.09,85
0.66,316
0.74,278
0.25,213
0.27,227
0.68,310
0.24,205
0.63,331
0.1,96
0.11,104
