P,TV0
0.0,0.0
0.56,45614.022387415534
0.59,47972.41832431816
0.54,43924.23878785734
0.55,44698.81592656413
0.52,42335.45406467708
0.61,49521.37840707098
0.51,41482.87346479322
0.42,33872.07881501127
0.21,17021.101026542445
0.46,37074.046275283355
0.48,38744.97460613139
0.01,665.5748306967515
0.41,33032.78450118803
0.32,25913.064831266514
0.58,47100.722810349034
0.53,42990.72491248051
0.62,50218.63395809083
0.4,32181.93069482228
0.33,26595.879656047844
0.31,25020.11425867124
0.57,46406.14796361336
0.36,29082.68367235997
0.37,29819.761831800795
0.5,40681.57198921328
0.82,65853.78101811893
0.47,37870.72556273782
0.6,48716.365052626585
0.39,31266.39167061074
0.43,34664.52785904087
0.02,1464.9425024012896
0.88,70832.4615911611
0.16,12985.372433334473
0.85,68306.20900027154
0.03,2370.742537090021
0.89,71783.87865691277
0.18,14596.184339332936
0.87,70136.44364822455
0.15,12215.683612296794
0.91,73478.6656475319
0.92,74247.07030143993
1.0,80841.80972730806
0.22,17963.833725337405
0.98,79084.88581776885
0.8,64311.13687392299
0.96,77472.08391126609
0.35,28089.16770465485
0.95,76745.06128622554
0.83,66620.87677757704
0.23,18647.626189324837
0.38,30522.013654512895
0.13,10430.68941465817
0.84,67487.53652567574
0.14,11264.590101524653
0.12,9772.040380822995
0.17,13716.125818571556
0.7,56420.64770854702
0.9,72611.09186500145
0.3,24174.222242756652
0.81,65185.71101271743
0.94,75887.09851896952
0.86,69275.7146531601
0.69,55768.69950974434
0.49,39726.392879826555
0.76,61425.56212302047
0.93,75004.79926865068
0.77,62176.722499107025
0.29,23446.98278461489
0.64,51774.59969981396
0.2,16236.878869445536
0.99,79958.18926088099
0.28,22745.468484778983
0.97,78364.01228355036
0.45,36341.19449086058
0.79,63764.99354103273
0.67,54216.28600153011
0.72,58074.13135329302
0.73,58732.98869869439
0.19,15264.516423578305
0.75,60616.78742657204
0.34,27327.689721734354
0.26,21019.796281972864
0.71,57178.3247901226
0.65,52532.62663677298
0.06,4789.737198357998
0.04,3277.8851711722004
0.05,4030.4574929286205
0.07,5505.010897270573
0.78,62882.65442928957
0.44,35597.3085418102
0.08,6190.570027702386
0.66,53521.31753977892
0.09,7126.67189445755
0.74,59725.61591222586
0.25,20317.085319715105
0.27,21913.3143752411
0.68,55011.39946947078
0.24,19575.502725808805
0.63,51169.694994491714
0.1,8124.70489827495
0.11,9036.213148301411
