P,num_trading_agents_SM
0.03,22
0.14,81
0.01,8
0.09,57
0.59,181
0.57,176
0.58,179
0.1,63
0.6,179
0.45,176
0.5,172
0.42,175
0.48,176
0.47,177
0.61,175
0.62,176
0.02,16
0.28,135
0.33,143
0.06,41
0.56,177
0.25,122
0.23,117
0.13,81
0.29,139
0.43,174
0.31,140
0.12,76
0.38,162
0.05,34
0.11,69
0.27,128
0.37,160
0.39,168
0.21,110
0.04,28
0.55,175
0.51,174
0.07,46
0.08,49
0.44,176
0.2,111
0.19,106
0.15,87
0.35,147
0.64,168
0.17,99
0.36,154
0.66,166
0.63,177
0.41,170
0.69,161
0.91,62
0.3,145
0.93,47
0.95,29
0.99,5
0.32,143
0.87,87
0.46,178
0.68,158
0.7,152
0.94,39
0.71,153
0.8,131
0.67,162
0.96,26
0.98,10
0.77,145
0.76,144
0.49,171
0.65,170
0.22,111
0.54,181
0.89,70
0.53,179
0.73,145
0.88,77
0.97,18
0.26,126
0.72,146
0.85,96
0.84,102
0.86,93
0.16,95
0.79,134
0.24,121
0.74,143
0.82,114
0.4,171
0.52,176
0.9,66
0.75,141
0.92,54
0.18,103
0.78,139
0.81,120
0.34,144
0.83,104
