P,TV0
0.0,0.0
0.03,2482.090516215175
0.14,11451.518898359202
0.01,756.7934070798618
0.09,7369.619175876613
0.59,48779.653265217596
0.57,47008.818769349105
0.58,47924.62432921453
0.1,8201.906067822936
0.6,49587.7339755043
0.45,37153.72496430099
0.48,39627.04427363002
0.5,40999.52218715194
0.42,34376.96779637328
0.33,27228.034840216387
0.28,23200.719595607472
0.47,38879.237491601
0.56,46110.01536654759
0.61,50570.360634973025
0.62,51315.85918351114
0.02,1650.54153931786
0.23,19042.23640313393
0.25,20786.523887920634
0.06,5002.973573206032
0.13,10767.097531602594
0.29,24030.336868036655
0.12,9908.299954131637
0.43,35488.33648540825
0.31,25751.24729426231
0.27,22354.06994790539
0.38,31126.169540868555
0.11,9049.684219157756
0.05,4010.629395354027
0.39,32021.705816488597
0.37,30408.329039328724
0.51,41941.87539197371
0.55,45280.61068935708
0.21,17299.57493323063
0.04,3306.0216822455136
0.07,5758.822491983603
0.08,6571.900556404855
0.44,36274.903003961226
0.2,16467.662000381126
0.19,15702.817507562662
0.15,12327.2518896035
0.35,28805.34295458479
0.64,52757.25867065012
0.17,14041.052277976036
0.63,51910.31996999424
0.36,29624.722978955724
0.66,54427.68658904684
1.0,81997.46887526265
0.41,33691.47081142076
0.69,56636.020251415
0.3,24861.40513118034
0.91,74551.75461481385
0.93,76256.09789956282
0.95,77855.02049235001
0.99,81178.33916446994
0.32,26481.384762322326
0.46,37937.87306735186
0.87,71264.55519759863
0.68,55928.096607850595
0.7,57412.80051110525
0.71,58324.92753915026
0.8,65508.276592536626
0.94,77021.0873275011
0.67,55069.55538660208
0.96,78554.2199107288
0.77,63136.14961381534
0.49,40367.00123703251
0.76,62440.94662246346
0.98,80102.97691042448
0.65,53534.06755860205
0.22,18145.032074568888
0.54,44568.64260758002
0.53,43626.020815614334
0.89,72875.82264774194
0.73,60002.89523982917
0.88,72214.12618686538
0.97,79490.77786999178
0.26,21552.012439609385
0.72,59187.241295296655
0.85,69429.31479969663
0.84,68583.86843672702
0.86,70379.15349449284
0.79,64606.50373828503
0.16,13196.536723692523
0.24,19814.212494588617
0.74,60778.663379723104
0.82,67092.58390683844
0.4,32933.84402344461
0.52,42792.12712184889
0.9,73776.58271465456
0.75,61511.49399995529
0.92,75466.72733973872
0.18,14863.502507983605
0.78,63830.637592917876
0.81,66371.67474422512
0.34,28129.868136346842
0.83,67861.43240257967
