P,num_trading_agents_CPP
0.0,0
0.03,44
0.14,141
0.01,16
0.09,95
0.59,369
0.57,291
0.58,322
0.1,106
0.6,277
0.45,289
0.48,295
0.5,291
0.42,295
0.33,247
0.47,295
0.28,227
0.56,311
0.61,335
0.62,361
0.02,33
0.23,199
0.25,214
0.06,77
0.13,149
0.29,225
0.12,125
0.43,285
0.31,241
0.27,255
0.38,279
0.11,116
0.05,58
0.39,292
0.37,296
0.51,308
0.55,269
0.21,199
0.04,53
0.07,79
0.08,84
0.44,291
0.2,197
0.15,144
0.19,199
0.35,266
0.64,302
0.17,186
0.63,305
0.36,284
0.66,321
1.0,481
0.41,286
0.69,303
0.3,242
0.91,167
0.93,153
0.95,112
0.99,67
0.32,249
0.46,292
0.87,199
0.68,306
0.7,295
0.71,289
0.8,237
0.94,119
0.67,321
0.96,83
0.77,260
0.49,297
0.76,263
0.98,53
0.65,280
0.22,201
0.54,301
0.53,272
0.89,173
0.73,281
0.88,172
0.97,75
0.26,253
0.72,276
0.85,196
0.84,213
0.86,191
0.79,250
0.16,165
0.24,211
0.74,270
0.82,222
0.4,296
0.52,307
0.9,177
0.75,264
0.92,146
0.18,192
0.78,228
0.81,229
0.34,270
0.83,209
