P,num_trading_agents_CPP
0.0,0
0.02,34
0.01,17
0.04,81
0.03,56
0.55,405
0.07,109
0.13,191
0.28,321
0.31,341
0.49,402
0.3,345
0.39,373
0.34,343
0.46,397
0.05,108
0.14,193
0.33,342
0.41,375
0.32,338
0.16,222
0.45,394
0.08,121
0.42,375
0.06,93
0.27,314
0.53,401
0.54,399
0.56,397
0.51,405
0.17,250
0.38,375
0.35,349
0.15,211
0.26,313
0.12,175
0.25,310
0.19,276
0.21,283
0.58,394
0.2,248
0.09,137
0.29,324
0.94,235
1.0,469
0.71,436
0.95,190
0.22,272
0.91,280
0.82,353
0.75,410
0.81,348
0.77,400
0.97,181
0.89,267
0.79,298
0.78,323
0.86,317
0.47,393
0.85,322
0.88,222
0.99,115
0.98,153
0.76,403
0.62,443
0.37,366
0.92,273
0.83,333
0.44,388
0.8,324
0.48,402
0.96,167
0.4,349
0.18,258
0.9,304
0.63,388
0.66,369
0.64,357
0.6,404
0.93,258
0.74,414
0.87,324
0.73,421
0.72,433
0.7,359
0.57,392
0.65,373
0.52,399
0.84,322
0.67,376
0.5,401
0.68,375
0.36,356
0.43,380
0.59,397
0.23,275
0.24,306
0.69,365
0.1,137
0.61,391
0.11,142
