Bilateral Market Min,Bilateral Market Max
0.0,0.0
61.40203412073856,236.93022586138568
211.18941636915315,405.62876495206456
280.9791505439475,507.1860326417591
429.450065354863,655.4125435150363
751.117373511036,1154.9999309119312
748.8083822559511,1290.8318923162642
921.517503143431,1587.1458344688026
1226.4826784294028,1879.0837849724167
1344.3467632855918,1956.8065548483482
1579.230073841879,2271.8915004714972
1629.3891857799917,2321.224057108435
1616.92348149982,2231.3358817430617
1507.4064870375496,2193.1081029377074
1605.0827824618082,2265.636337293092
1757.3613200222971,2419.3057776671812
1659.738460748762,2573.4667625366765
1917.0753603957237,2700.7983039675346
2065.958938514721,2947.198819840516
2201.0514001229585,2979.640278643661
2540.0718947909845,3165.488987691617
2549.351639156801,3422.301528107
2850.119854899629,3691.3367626322797
2763.0306611916967,3641.969611525139
2818.9512823536606,3717.967410508798
3207.2738813462347,4094.992191455167
3286.7981958261007,4298.508562091676
3323.198685140869,4469.021202826378
3240.9511499601467,4195.9842924152
3305.352781307949,4183.7336486226195
3142.3458746108154,4193.284505504875
3492.5018051498046,4426.436461693207
3496.198795428947,4419.688531655425
3608.7588232833405,4397.603528535194
3507.1327153644816,4493.431909863037
3511.8075775303587,4588.139593608881
3457.602264301331,4480.87186269055
3443.280307302077,4634.599331142592
3579.03795354272,4559.745897885528
3579.4042125480155,4671.990116268633
3780.6463673809485,4600.62382885423
3547.7434239084832,4650.683774762903
3424.948392900318,4524.431712874568
3661.0234351990293,4864.593728240106
3631.0083811460427,4583.75754599466
3624.3221060414508,4732.823233128525
3656.3123113009497,4612.775923269648
3784.7091700648816,4841.01149742258
3849.5158416087943,4855.8462939988385
3899.048854634457,5018.8676904057065
3882.3224708332054,4981.567301453695
4064.2186521172916,5006.996368234199
4074.9734966895194,4998.116936412065
4293.759053581227,5243.658938140652
4070.9005463646754,5073.768687493619
3844.5841924070046,5011.968477770082
3876.2401252264826,4978.710886043569
3950.498569536743,4859.97004397952
3898.5788661191837,4693.1895980414265
3889.5681468807816,4861.562830999552
3672.7833068154723,4696.752537059729
3753.3195613767894,4652.219735261664
3563.293299879093,4458.033021328636
3486.2183824225503,4459.435366577702
3396.7029836690854,4507.103352195394
3247.6174864636996,4202.179393020044
3258.5679058932074,4105.903595512966
3020.986064161916,3949.26685225479
3080.260337806183,3786.8864728546687
2960.070940658188,3785.5287004478087
2643.5669674345263,3580.4928174015076
2696.3396685205807,3492.7262724366956
2514.2603361953807,3379.610746458573
2468.8668590788293,3544.3899328419648
2463.4240605559753,3535.606443033117
2495.040017667656,3221.662050070532
2366.6032550973905,3175.5137895514345
2322.7143618325645,3091.066294917706
2354.128553890907,3144.7158317076974
2281.4513288902526,3126.168205116337
2209.267579923282,2860.0578627105715
2211.5461239354627,2859.0945080781676
2149.7213851818815,2816.227042256083
1982.6787024580117,2681.703271165199
1918.5003091100953,2514.7554923520365
1727.3578720230144,2369.1057284065464
1490.3487467266386,2182.870342064911
1413.8301730049425,2117.5879354295903
1318.9394199288072,1910.0088826870633
1286.3079538309976,1809.6048747958994
1170.6223775414546,1798.5710234037979
996.1038519507274,1455.521990201014
813.9550420635787,1309.5959681731183
657.3371900998754,1120.269464449564
676.2979438755865,1126.473424791402
618.1114167765045,958.8271289416443
496.0337649578141,805.5702196981438
345.1689517354389,643.534579759289
176.66813058871776,413.84449674614007
147.20055903459433,200.03641787645756
0.0,0.0
