P,num_trading_agents_CPP
0.0,0
0.41,493
0.47,498
0.51,499
0.43,496
0.5,499
0.42,493
0.49,499
0.48,498
0.01,68
0.02,86
0.08,262
0.52,497
0.09,285
0.45,497
0.44,497
0.14,344
0.58,499
0.46,497
0.28,447
0.07,237
0.26,441
0.32,467
0.29,455
0.73,498
0.06,219
0.3,460
0.66,499
0.75,499
0.65,499
0.74,499
0.76,499
0.39,488
0.9,500
0.68,499
0.37,481
0.33,471
0.27,445
0.69,497
0.95,500
0.11,310
0.91,500
0.67,497
1.0,257
0.25,436
0.99,366
0.1,297
0.93,499
0.96,500
0.98,499
0.97,494
0.92,499
0.31,464
0.94,500
0.7,498
0.36,478
0.6,499
0.12,322
0.81,500
0.35,477
0.72,499
0.71,499
0.16,360
0.03,127
0.34,478
0.13,339
0.38,485
0.77,499
0.17,370
0.4,488
0.04,192
0.18,384
0.15,353
0.2,400
0.05,200
0.23,424
0.24,428
0.59,499
0.19,389
0.55,499
0.21,411
0.53,499
0.22,417
0.87,499
0.63,499
0.57,499
0.88,499
0.54,499
0.89,499
0.8,499
0.64,499
0.56,499
0.79,499
0.85,499
0.86,499
0.84,499
0.82,499
0.78,499
0.83,499
0.61,499
0.62,499
