P,num_trading_agents_SM
0.41,328
0.47,360
0.51,368
0.43,336
0.5,363
0.42,334
0.49,357
0.48,358
0.01,10
0.02,16
0.08,78
0.52,367
0.09,90
0.45,346
0.44,338
0.14,134
0.58,375
0.46,354
0.28,242
0.07,67
0.26,229
0.32,268
0.29,247
0.73,297
0.06,60
0.3,255
0.66,358
0.75,277
0.65,361
0.74,287
0.76,271
0.39,315
0.9,129
0.68,341
0.37,296
0.33,277
0.27,239
0.69,334
0.95,70
0.11,110
0.91,117
0.67,349
0.99,12
0.25,220
0.1,98
0.93,94
0.96,55
0.98,26
0.97,41
0.92,107
0.31,261
0.94,83
0.7,326
0.36,290
0.6,379
0.12,118
0.81,228
0.35,283
0.72,303
0.71,315
0.16,149
0.03,26
0.34,286
0.13,127
0.38,308
0.77,261
0.17,157
0.4,320
0.04,37
0.18,163
0.15,142
0.2,179
0.05,47
0.23,204
0.24,212
0.59,378
0.19,173
0.55,376
0.21,190
0.53,372
0.22,197
0.87,157
0.63,376
0.57,372
0.88,147
0.54,372
0.89,136
0.8,234
0.64,368
0.56,375
0.79,244
0.85,181
0.86,169
0.84,196
0.82,214
0.78,255
0.83,202
0.61,377
0.62,378
