,Central Planning Mean,Smart Market Mean,Bilateral Market Mean,TV0,Central Planning Mean/TV0,Smart Market Mean/TV0,Bilateral Market Mean/TV0,TV0_p=1,Central Planning Mean/TV0_p=1,Smart Market Mean/TV0_p=1,Bilateral Market Mean/TV0_p=1
mean,14171.365611429195,5699.7911219149355,3576.1464659138755,39588.306835774,0.5688299671055258,0.21798321641311322,0.13439908718465515,80128.190760988,0.17685867454190418,0.0711334059559222,0.04463031589694887
max,21367.622362910344,8941.918605148567,5908.989284925552,80128.190760988,1.7099550326378339,0.6526535289484635,0.4713461186047844,80128.190760988,0.2666679749034543,0.1115951642015873,0.07374419949841748
