P,num_trading_agents_CPP
0.0,0
0.03,152
0.04,177
0.35,491
0.05,195
0.01,86
0.06,211
0.37,491
0.45,498
0.07,238
0.02,122
0.46,499
0.24,433
0.2,406
0.21,412
0.22,418
0.26,451
0.64,499
0.34,484
0.23,428
0.39,495
0.17,371
0.25,445
0.29,469
0.66,499
0.33,482
0.38,494
0.32,480
0.28,465
0.76,500
0.44,498
0.47,499
0.48,499
0.08,249
0.16,361
0.18,385
0.75,500
0.27,456
0.68,500
0.89,500
0.98,500
0.99,500
1.0,92
0.78,500
0.96,500
0.74,500
0.91,500
0.94,500
0.9,500
0.95,500
0.1,281
0.92,500
0.73,500
0.77,500
0.52,499
0.83,500
0.8,500
0.81,500
0.72,500
0.71,500
0.88,500
0.84,500
0.14,332
0.09,266
0.93,500
0.4,496
0.86,500
0.6,499
0.87,500
0.67,499
0.56,499
0.5,499
0.7,500
0.31,475
0.49,499
0.53,499
0.55,499
0.97,500
0.19,396
0.79,500
0.54,499
0.82,500
0.85,500
0.13,319
0.42,498
0.58,499
0.3,475
0.59,499
0.36,491
0.41,498
0.63,499
0.15,344
0.43,498
0.12,303
0.62,499
0.57,499
0.61,499
0.11,289
0.65,499
0.51,499
0.69,500
