agent_id,c,alpha,beta,acbar,sigma,pro,cbar,wtp_wta_max
1,7.808888802960994,29.49965386845093,1.8888509372335522,7.808888802960994,0.0015076070814208909,1,7.808888802960994,115.17975839228572
2,8.384798311832363,31.436593203805934,1.8746183291876926,8.384798311832363,0.003126400949558847,1,8.384798311832363,131.79474681251634
3,11.713110123683766,38.60137922746996,1.6477852090461629,11.713110123683766,0.005387768503061783,1,11.713110123683766,226.0711029087173
4,6.497630005850232,24.084015535910975,1.8532923169083646,6.497630005850232,0.006642220097449738,1,6.497630005850232,78.24451100374915
5,11.188498954735572,26.555032928386744,1.186711150254308,11.188498954735572,0.008802304672893248,1,11.188498954735572,148.55547908111188
6,7.891458313639798,31.534554098748707,1.9980181637811847,7.891458313639798,0.010325852867339289,1,7.891458313639798,124.42680955474722
7,8.35763945798917,33.00335130368977,1.9744421537675603,8.35763945798917,0.011939403367129914,1,8.35763945798917,137.91505555079797
8,13.218217361586168,26.878738551701527,1.0167308426102366,13.218217361586168,0.014491351358825169,1,13.218217361586168,177.6445042908183
9,9.13969153095476,34.50248872138985,1.8875083805911343,9.13969153095476,0.016255887136162037,1,9.13969153095476,157.67105198187448
10,14.312651228976513,36.086713186281486,1.2606578826298285,14.312651228976513,0.01901912975507735,1,14.312651228976513,258.2482699176773
11,7.056923213597815,23.02722598765314,1.6315344017972686,7.056923213597815,0.02038156014412699,1,7.056923213597815,81.25068280851616
12,8.9071859945252,26.05788482905126,1.4627450715112345,8.9071859945252,0.022101207717516343,1,8.9071859945252,116.05121339813805
13,8.71523299624932,33.769444709338345,1.9373804879267904,8.71523299624932,0.023783796279463382,1,8.71523299624932,147.15428939792127
14,11.992220546834588,33.99203688641851,1.4172536584724043,11.992220546834588,0.02609904971366691,1,11.992220546834588,203.82000158903364
15,12.73137497199067,38.66780233972155,1.518602759905809,12.73137497199067,0.028557006479131394,1,12.73137497199067,246.14714546490657
16,8.88796814792784,33.69707146070058,1.8956566281437892,8.88796814792784,0.03027294379843071,1,8.88796814792784,149.74924891057748
17,9.135147314049343,21.185181618404286,1.1595424184250793,9.135147314049343,0.03203660225586215,1,9.135147314049343,96.76487747950671
18,6.1605111032861615,20.59579296371481,1.6715977472005958,6.1605111032861615,0.033225968681590286,1,6.1605111032861615,63.440305616974044
19,6.795240774659143,21.356803803036843,1.5714530589321263,6.795240774659143,0.0345378778879234,1,6.795240774659143,72.5623120093957
20,11.572708652946067,36.10201410271039,1.5597910215047146,11.572708652946067,0.03677213911978864,1,11.572708652946067,208.89904549760877
21,10.007966618362019,28.945155446496724,1.4461057150905101,10.007966618362019,0.03870430664389852,1,10.007966618362019,144.8410747359194
22,12.961379953309283,36.96799235985475,1.426082426910729,12.961379953309283,0.04120666884877284,1,12.961379953309283,239.57809754355603
23,8.980843687216893,31.824815545924068,1.7718165828463703,8.980843687216893,0.042940536993347815,1,8.980843687216893,142.9068468962271
24,7.208849077089734,25.6807941526084,1.7811993203064758,7.208849077089734,0.04433229863725724,1,7.208849077089734,92.56448461298126
25,11.043680258472751,32.08454716821684,1.4526202505546761,11.043680258472751,0.046464424088487694,1,11.043680258472751,177.16574008183704
26,6.920830887545087,21.248919063926877,1.5351421967387617,6.920830887545087,0.04780058009206954,1,6.920830887545087,73.53008769228538
27,12.334246012887537,34.00410660537964,1.3784428561685154,12.334246012887537,0.05018186597053738,1,12.334246012887537,209.7075081596033
28,5.290719427826146,21.10570945420159,1.9945973078063521,5.290719427826146,0.05120330785253439,1,5.290719427826146,55.83219352369916
29,7.669209844109946,22.952725931193577,1.496420517742227,7.669209844109946,0.05268394810259132,1,7.669209844109946,88.0146358303337
30,8.140957583976235,24.66776330752762,1.5150406480486356,8.140957583976235,0.05425566536132547,1,8.140957583976235,100.40960738907383
31,16.07101674034949,35.168314848285064,1.0941533885652674,16.07101674034949,0.05735838320694231,1,16.07101674034949,282.59528832833536
32,11.823983072706792,24.259512786648497,1.0258604328792782,11.823983072706792,0.05964115621867404,1,11.823983072706792,143.42203427072292
33,15.244211587016366,32.8150992499322,1.0763134276449273,15.244211587016366,0.06258424862518261,1,15.244211587016366,250.12015810745427
34,8.26627904710725,20.71590645863622,1.2530369674542783,8.26627904710725,0.06418016081485223,1,8.26627904710725,85.62173175042918
35,10.455655525858683,39.249889716772024,1.8769693406453625,10.455655525858683,0.06619876047857198,1,10.455655525858683,205.19166315325566
36,13.37033788005984,34.88656178312558,1.3046252868132246,13.37033788005984,0.06878007730579135,1,13.37033788005984,233.22255925698593
37,9.682475210258113,30.98168059690305,1.5998843231779958,9.682475210258113,0.07064940449958265,1,9.682475210258113,149.9896771758243
38,13.580859449692658,35.36114903651484,1.3018744935658353,13.580859449692658,0.07327136524134335,1,13.580859449692658,240.1173975222715
39,13.132642819915064,31.491958768336715,1.1989954802007015,13.132642819915064,0.07580679195987568,1,13.132642819915064,206.78632310202923
40,13.476492549320696,28.056141255172207,1.0409289046275776,13.476492549320696,0.07840860332033042,1,13.476492549320696,189.0491892940086
41,7.6049463728972935,28.60932727222914,1.88096837698868,7.6049463728972935,0.07987683667528084,1,7.6049463728972935,108.78619983498531
42,13.731390334623756,39.15866868887602,1.4258814196744987,13.731390334623756,0.08252785935323002,1,13.731390334623756,268.85148237558303
43,15.704767590574232,38.016013988818756,1.21033354265094,15.704767590574232,0.08555986805882733,1,15.704767590574232,298.51633220720873
44,16.561089920314405,35.23503305714616,1.0637896789004706,16.561089920314405,0.08875720087658329,1,16.561089920314405,291.76527540232405
45,9.06438854743815,31.254217623021187,1.7240113582650043,9.06438854743815,0.09050719843803998,1,9.06438854743815,141.6501861406264
46,6.117913597951772,20.47217621159919,1.6731338130088262,6.117913597951772,0.09168834086387345,1,6.117913597951772,62.623502612303746
47,11.56249470502882,36.26791836980037,1.5683431342038383,11.56249470502882,0.0939206301608581,1,11.56249470502882,209.67380705661714
48,11.6193089555259,38.919616372854236,1.6747818877104943,11.6193089555259,0.09616388818444857,1,11.6193089555259,226.10952353336884
49,8.314444237185192,27.08421779937362,1.628744930313155,8.314444237185192,0.09776909928763479,1,8.314444237185192,112.5951093003353
50,9.637579052998449,38.06764658550796,1.9749589796445992,9.637579052998449,0.09962975869701768,1,9.637579052998449,183.43997666471972
51,0.0,37.362089318386474,1.8910447837831712,9.878689716602302,0.10153696764155562,0,9.878689716602302,184.5442437701606
52,0.0,36.485885952943875,1.2595375404482863,14.48384219654067,0.1043332608930881,0,14.48384219654067,264.22790727170946
53,0.0,35.587243466419395,1.4856048366157624,11.977358510587463,0.10664564501878233,0,11.977358510587463,213.1205867004332
54,0.0,27.25954640482876,1.9411380572682222,7.021537263349347,0.10800124369201126,0,7.021537263349347,95.70196043175294
55,0.0,37.840461751145426,1.1561791389559926,16.364445818195023,0.11116061181999438,0,16.364445818195023,309.6190930310502
56,0.0,25.81844797945099,1.0253757546539943,12.58974959290082,0.11359122597246843,0,12.58974959290082,162.52389746931203
57,0.0,27.685893629920994,1.8726415390329145,7.392203220115148,0.11501838650748873,0,7.392203220115148,102.32987602143372
58,0.0,23.30669979392943,1.664116444042656,7.002725042879275,0.11637035323800295,0,7.002725042879275,81.60520515690942
59,0.0,39.24019812417759,1.9882879501402926,9.867835823631285,0.11827546669798258,0,9.867835823631285,193.6079163880744
60,0.0,22.86280862354316,1.444027121825826,7.9163362924359255,0.11980381790831872,0,7.9163362924359255,90.49484082678588
61,0.0,39.53249334713763,1.9950171227627167,9.907808032342274,0.12171664852069138,0,9.907808032342274,195.84017756164386
62,0.0,30.285629650187406,1.180423260731919,12.82829246833414,0.1241933164635702,0,12.82829246833414,194.25645737012812
63,0.0,20.982999774056676,1.9397862377903112,5.40858558671889,0.12523751393349913,0,5.40858558671889,56.74417507204433
64,0.0,36.86292923834337,1.6425433851118778,11.221295453280383,0.12740393029758756,0,11.221295453280383,206.82491012840947
65,0.0,24.979125644882405,1.3703957255245933,9.11383667492114,0.1291634744602365,0,9.11383667492114,113.82783570489622
66,0.0,27.372855296930407,1.8871850876066611,7.252297476461309,0.13056362438015057,0,7.252297476461309,99.25804469673449
67,0.0,21.754526964655376,1.087224501637587,10.004615850676892,0.13249514499517803,0,10.004615850676892,108.82284264728453
68,0.0,25.965108595085482,1.3708895253131521,9.470168133772223,0.1343234835592139,0,9.470168133772223,122.94697200355688
69,0.0,35.821114985400015,1.4464137041810137,12.382734926340662,0.136714130850187,0,12.382734926340662,221.78168581508882
70,0.0,22.721403657435975,1.3022761498155564,8.72372716825615,0.13839835932201,0,8.72372716825615,99.10766319364446
71,0.0,37.284135955530274,1.2701581106667308,14.676966451034628,0.1412319377111614,0,14.676966451034628,273.6090062875659
72,0.0,32.02361909617836,1.8977812559281333,8.437120715610824,0.14286083309674236,0,8.437120715610824,135.0935700325984
73,0.0,27.151076971289744,1.318383781033996,10.297106715768079,0.14484882286001727,0,10.297106715768079,139.7887685107018
74,0.0,23.4382349214866,1.6632643863625112,7.045853657921765,0.1462091161280313,0,7.045853657921765,82.57118662839301
75,0.0,27.911578121994992,1.7740763204013996,7.86650996944702,0.14772784772163647,0,7.86650996944702,109.78335377983647
76,0.0,34.66260674253082,1.6676722395109744,10.392511766189509,0.14973425666505955,0,10.392511766189509,180.11577420927568
77,0.0,33.04786199954409,1.860041465871035,8.883635823696054,0.15144935757307734,0,8.883635823696054,146.79258537785668
78,0.0,22.121939064024993,1.1312962066849264,9.777253266343756,0.1533369828976429,0,9.777253266343756,108.14590048579794
79,0.0,38.272296209033286,1.622594476547328,11.793549393336962,0.15561388029356177,0,11.793549393336962,225.6831078688285
80,0.0,33.20106719235969,1.201204041152789,13.819911544959842,0.1582819931372088,0,13.819911544959842,229.41790589833954
81,0.0,35.93723829426589,1.1173582831053566,16.081340621733833,0.16138670414178533,0,16.081340621733833,288.95948500725336
82,0.0,31.264828721537455,1.685776273441176,9.273125151333558,0.16317700100703864,0,9.273125151333558,144.9613347849124
83,0.0,22.081602870606726,1.414920003582067,7.803127673191443,0.16468349582777086,0,7.803127673191443,86.15278321402748
84,0.0,29.484801350457044,1.6336159134755701,9.024398301718053,0.1664257727545564,0,9.024398301718053,133.04129561677937
85,0.0,30.972111856268913,1.2810360630692241,12.08869630963514,0.16875965208379487,0,12.08869630963514,187.20622714924238
86,0.0,29.96786924314707,1.0260212111989242,14.60392286048798,0.17157912846213025,0,14.60392286048798,218.82422536005507
87,0.0,34.243913717703755,1.1550559909550464,14.82348647418794,0.1744409944386772,0,14.82348647418794,253.80709590882023
88,0.0,37.092561906307466,1.6223634659625101,11.431643612703434,0.17664802123822088,0,11.431643612703434,212.01447419752324
89,0.0,30.735905861015556,1.8796655346230433,8.175897598500011,0.17822648411911077,0,8.175897598500011,125.64680945839974
90,0.0,39.85378886037854,1.1941034008143954,16.687746150458032,0.18144826956185456,0,16.687746150458032,332.5349558179746
91,0.0,33.337472560612945,1.828008929714036,9.118520161120898,0.1832087179321492,0,9.118520161120898,151.99420783238193
92,0.0,27.847573148432684,1.4277023583446498,9.752583577966687,0.18509158045398671,0,9.752583577966687,135.79289228681534
93,0.0,36.84295316466348,1.2255875571135995,15.030730750658442,0.18799345762120043,0,15.030730750658442,276.88825453858806
94,0.0,21.927043132873013,1.0168703277370654,10.781631902697598,0.1900749912447317,0,10.781631902697598,118.20465388660497
95,0.0,32.155987453689534,1.8383537582148355,8.745864964781084,0.1917634937047815,0,8.745864964781084,140.6159620395817
96,0.0,23.23709657355393,1.1450846885901806,10.146453273322196,0.19372239787055298,0,10.146453273322196,117.88705729562014
97,0.0,37.11450870732304,1.135087784030638,16.34873937922728,0.1968787336671495,0,16.34873937922728,303.387715022043
98,0.0,33.177812062478324,1.0379439157771948,15.982468589179668,0.19996435614579175,0,15.982468589179668,265.131669573133
99,0.0,27.589239257542562,1.4621899795424282,9.434218413320076,0.2017857541508702,0,9.434218413320076,130.14145450650057
100,0.0,39.9830476891768,1.8861946918941368,10.598865499145637,0.20383200235400514,0,10.598865499145637,211.88747235175532
101,0.0,29.84932917617908,1.979908225836363,7.53805878137861,0.20528732219345067,0,7.53805878137861,112.50299895737874
102,0.0,30.65060378977769,1.8407124950353055,8.325744480044342,0.20689471495481976,0,8.325744480044342,127.59454765638392
103,0.0,37.035486344311025,1.1873573695256017,15.595762192097325,0.20990567875699948,0,15.595762192097325,288.79831884727133
104,0.0,24.758976256747243,1.9150343541459351,6.464368694782299,0.21115370882466722,0,6.464368694782299,80.02557551448754
105,0.0,39.0317111294082,1.6466619845034174,11.851767848147343,0.21344184604701416,0,11.851767848147343,231.29738951084747
106,0.0,32.62691851923695,1.7344933127224358,9.405316895695092,0.21525766423994075,0,9.405316895695092,153.4332540017232
107,0.0,33.01260578887996,1.7703708410747416,9.323641415388131,0.21705771392398013,0,9.323641415388131,153.89884928154157
108,0.0,37.375293655301604,1.9490925912403925,9.587870228247125,0.218908776401188,0,9.587870228247125,179.17473265482997
109,0.0,21.44056660864141,1.107699444265668,9.677971185972337,0.22077723403477945,0,9.677971185972337,103.75059292467611
110,0.0,20.52712687882818,1.6310938630684557,6.292441944515695,0.2219920714174535,0,6.292441944515695,64.58287708636699
111,0.0,33.742641710867154,1.3656410696918675,12.35413991997201,0.22437719807224107,0,12.35413991997201,208.43065848276828
112,0.0,36.89516693311433,1.656167661360104,11.138717351483214,0.2265276716646777,0,11.138717351483214,205.48241805187516
113,0.0,39.811692570619755,1.078654773150879,18.454325499494644,0.23009051812182468,0,18.454325499494644,367.3489666920148
114,0.0,33.850517580054635,1.1135179196032148,15.199808186345468,0.2330250378769638,0,15.199808186345468,257.2606871126728
115,0.0,36.542535019589494,1.9659517147998191,9.293853644648236,0.23481933664621352,0,9.293853644648236,169.8104861382488
116,0.0,20.685134100575738,1.9391605821562603,5.333527891118432,0.23584904325627012,0,5.333527891118432,55.16236982847283
117,0.0,34.29934551159462,1.6526456842701163,10.377101951754039,0.2378524771355128,0,10.377101951754039,177.96390262612735
118,0.0,35.640066406716535,1.9674347748539058,9.05749630489352,0.2396011440603156,0,9.05749630489352,161.40488489249736
119,0.0,38.6295039609441,1.05440067966579,18.318227930765545,0.24313771511982823,0,18.318227930765545,353.8120292044922
120,0.0,27.721653306204576,1.7474136119079131,7.932195651130558,0.244669128184684,0,7.932195651130558,109.94678889881249
121,0.0,23.887410906188162,1.159295430487962,10.302555447895474,0.24665816989623826,0,10.302555447895474,123.0506876838333
122,0.0,23.222245140246468,1.5012517048066905,7.734294344477262,0.24815137555170955,0,7.734294344477262,89.80383962713643
123,0.0,22.514847674793284,1.2660266995496414,8.891932406639766,0.24986807822247661,0,8.891932406639766,100.10025183502617
124,0.0,26.38750782121782,1.164760856081774,11.327435878118676,0.25205498636973017,0,11.327435878118676,149.45140141409996
125,0.0,31.85539716307843,1.594317180226579,9.990294766362377,0.2539837421140224,0,9.990294766362377,159.12240377934867
126,0.0,37.72827096067268,1.2274505149677886,15.368550707587087,0.2569508397975172,0,15.368550707587087,289.91442268434173
127,0.0,25.165677600338203,1.6926512440466823,7.433804715782357,0.2583860320398711,0,7.433804715782357,93.53836641062628
128,0.0,27.90784079059138,1.244110980291081,11.215977204888048,0.26055142164725453,0,11.215977204888048,156.50685307245888
129,0.0,27.9144081717168,1.5395825734204633,9.065576817260231,0.2623016486195843,0,9.065576817260231,126.53010579452769
130,0.0,24.046007566392575,1.0685116947466704,11.252103128404952,0.264474012804208,0,11.252103128404952,135.28407848172753
131,0.0,31.86287808003707,1.0564282570076666,15.080474167876142,0.26738549358212027,0,15.080474167876142,240.253654900093
132,0.0,20.734727530769952,1.4173312831360287,7.314707499044149,0.26879769256488717,0,7.314707499044149,75.83423347998007
133,0.0,22.525217114184628,1.212058812944466,9.292130412163706,0.2705916586417959,0,9.292130412163706,104.65362749365268
134,0.0,33.223071063893116,1.7286513964315833,9.60953467323567,0.2724469037205882,0,9.60953467323567,159.6291266699268
135,0.0,38.56610108824244,1.5890917100157094,12.134636674890585,0.2747896524321075,0,12.134636674890585,233.9928123364622
136,0.0,21.59090657886163,1.424968193749331,7.575925790333721,0.2762522829878782,0,7.575925790333721,81.78555299374192
137,0.0,25.41586189060773,1.1687180537477315,10.873393205960417,0.2783515323189948,0,10.873393205960417,138.17833000248118
138,0.0,35.716593997973504,1.8604666852942335,9.598826541826766,0.28020471005438546,0,9.598826541826766,171.4186952256993
139,0.0,34.34292083244603,1.2776799410918434,13.439563277129576,0.2827993917407378,0,13.439563277129576,230.776928824555
140,0.0,20.52163579898012,1.9941640612417433,5.145423136901166,0.283792782292689,0,5.145423136901166,52.79624982356578
141,0.0,22.655115892487764,1.996345012214888,5.674148444750178,0.2848882501104783,0,5.674148444750178,64.27424530349724
142,0.0,24.401555891491356,1.3636073625450127,8.947427449331427,0.2866156668177052,0,8.947427449331427,109.16557549496238
143,0.0,27.186320248037383,1.7102562764612408,7.948025282003256,0.2881501359977397,0,7.948025282003256,108.03878032801907
144,0.0,22.138019699552455,1.225272458195102,9.033917130628666,0.2898942506576822,0,9.033917130628666,99.99651770099089
145,0.0,20.62637854733477,1.6573488994282077,6.222702580745357,0.2910956239532977,0,6.222702580745357,64.17590950896536
146,0.0,30.53307200352018,1.0392036454569238,14.69061051556223,0.2939318365057494,0,14.69061051556223,224.27473432366614
147,0.0,36.33867284917646,1.8528254945978335,9.806285846974482,0.29582506694587685,0,9.806285846974482,178.17370662935753
148,0.0,26.185084032392687,1.2932793592181602,10.123521977580557,0.2977795439281248,0,10.123521977580557,132.54263684336053
149,0.0,38.53872985816645,1.7579197097836214,10.961459059728643,0.2998957955124585,0,10.961459059728643,211.22035477711668
150,0.0,35.72039093922898,1.670799671283645,10.689609159363089,0.3019595629540139,0,10.689609159363089,190.91850908000617
151,0.0,28.587290746168133,1.7874824602386477,7.9965234294806535,0.30350339532930165,0,7.9965234294806535,114.29947011855448
152,0.0,39.38091997150923,1.801553927438552,10.929708895115061,0.30561351713330226,0,10.929708895115061,215.2109956552094
