P,num_trading_agents_CPP
0.0,0
0.04,171
0.02,108
0.11,301
0.07,225
0.45,497
0.03,136
0.12,318
0.5,498
0.23,430
0.47,498
0.59,498
0.15,354
0.18,378
0.54,498
0.51,498
0.17,372
0.06,211
0.09,265
0.57,498
0.53,498
0.16,363
0.05,188
0.13,327
0.08,239
0.31,476
0.19,391
0.34,476
0.14,342
0.62,497
0.3,475
0.21,417
0.1,281
0.55,498
0.58,498
0.63,497
0.22,423
0.28,464
0.35,479
0.25,442
0.01,92
1.0,101
0.99,500
0.52,498
0.7,499
0.67,500
0.61,499
0.43,489
0.49,498
0.36,480
0.24,436
0.64,500
0.26,450
0.2,404
0.42,486
0.75,500
0.71,499
0.66,500
0.65,500
0.37,480
0.6,498
0.56,498
0.77,500
0.46,496
0.88,500
0.86,500
0.48,498
0.85,500
0.91,500
0.76,500
0.72,500
0.83,499
0.74,500
0.95,500
0.33,475
0.89,498
0.68,500
0.87,498
0.82,500
0.27,455
0.98,500
0.92,500
0.96,500
0.8,500
0.93,500
0.9,499
0.94,500
0.97,500
0.29,473
0.84,500
0.69,500
0.4,485
0.32,476
0.81,500
0.79,500
0.78,500
0.44,495
0.39,485
0.38,485
0.73,500
0.41,489
