Num Agents,Mean Gainz from Trade,Mean Percentage Trade,Run Time
150.0,0.0,,0.36899518966674805
160.0,6998.017673377215,8.125,2.1908841133117676
170.0,13606.592136164292,11.415441176470589,3.8526618480682373
180.0,23206.2995268173,11.128812636165577,2.5241312980651855
190.0,24334.14660717652,11.109767371861025,2.605299472808838
200.0,20278.455505980433,11.109767371861025,0.45197296142578125
210.0,34192.044482209276,11.268766278441202,3.3778371810913086
220.0,41180.751607336155,11.739123413852516,5.241936922073364
230.0,39673.43895184689,11.180118205662405,4.198991298675537
240.0,35706.095056662205,11.180118205662405,0.5627293586730957
250.0,32460.086415147456,11.180118205662405,0.5957953929901123
260.0,41382.77167867008,11.369141891493065,5.213785648345947
270.0,86370.6665421275,11.093558224537045,9.30512261390686
280.0,85216.6021976714,11.055630973511912,9.346918106079102
290.0,86826.97047883789,11.429883957111143,15.550971031188965
300.0,88054.37511891942,10.97739362735188,10.57509469985962
310.0,83999.3416847232,10.728512231699503,9.537873268127441
320.0,132519.737004795,10.743439929435253,15.181618452072144
330.0,136574.32389378216,10.916099489695124,16.73926305770874
340.0,129745.60769909306,10.916099489695124,1.0699872970581055
350.0,126885.72225999938,10.930271843017753,18.73737406730652
360.0,121118.18942999942,10.930271843017753,1.2166621685028076
370.0,118793.82028359977,10.732465709167743,22.58622169494629
380.0,122008.92343241065,10.852591883219826,43.65204620361328
390.0,127842.46013897509,10.902185562780456,36.68814992904663
400.0,128450.64728253632,11.194576284641434,49.385929107666016
410.0,127914.95970243383,11.288678923816466,47.83291745185852
420.0,133256.86792026047,11.359972738967665,61.17860984802246
430.0,132437.00365665267,11.351399606737523,41.3995418548584
440.0,128022.43686809759,11.351399606737523,2.696000337600708
