1.000000000000000000e+02,1.281946057545904623e+05,2.700000000000000000e+01
1.000000000000000000e+02,7.149146678274008445e+04,2.550000000000000000e+01
1.000000000000000000e+02,4.766097785516005388e+04,2.550000000000000000e+01
1.000000000000000000e+02,5.860695586887268291e+04,2.533333333333333215e+01
1.000000000000000000e+02,4.688556469509814633e+04,2.533333333333333215e+01
1.250000000000000000e+02,1.059775670459538378e+05,2.900000000000000000e+01
1.250000000000000000e+02,9.732400360255720443e+04,2.943999999999999773e+01
1.250000000000000000e+02,1.040977549093426205e+05,2.946666666666666501e+01
1.250000000000000000e+02,9.560194255517594866e+04,2.914285714285714235e+01
1.250000000000000000e+02,9.257388467542434228e+04,2.960000000000000142e+01
