Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,112.99999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,114.99999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,117.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,119.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,121.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,123.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,125.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,127.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,129.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,131.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,133.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,135.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,137.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,139.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,141.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,143.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,145.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,147.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,149.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,151.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,153.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,155.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,157.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,159.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,161.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,163.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,165.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,167.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,169.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,171.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,173.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,175.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,177.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,179.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,181.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,183.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,185.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,187.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,189.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,191.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,193.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,195.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,197.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,199.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,200.99999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,202.99999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,204.99999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,206.99999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,209.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,211.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,213.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,215.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,217.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,219.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,221.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,223.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,225.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,227.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,229.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,231.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,233.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,236.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,238.20000000000002,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,240.39999999999998,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,242.60000000000002,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,244.79999999999998,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,247.00000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,249.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,251.39999999999998,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,253.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
