Percentage_of_Sellers,Percentage_Value_Increased,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
10,580.7844487774742,9.2,131.875,1261.25,458692.19747796754,24943095.188477673,760.6580193380145,13712.319211407872
20,844.2532661465657,17.4,271.875,1099.375,4182009.7290801513,68787400.4934637,1531.698359313945,12087.596886904288
30,2303.539603510893,27.800000000000004,425.625,967.5,3615597.954456473,7230927.171355398,2191.6908233565405,10321.650450502804
40,2953.9208186644705,34.2,585.625,855.0,12252515.070747409,10424725.194797935,3018.2184082091007,9048.213701427658
50,7239.536316554144,40.0,692.5,723.125,43261802.99494033,4041062.455541579,3822.280604035433,7442.317227158474
60,26732.653530121963,48.6,831.875,592.5,4020833.5050754296,4088807.794535332,4490.842094422236,6042.940757550827
70,14124.07760248348,53.2,971.25,420.0,8348842.713720195,4021618.93521403,5274.0470719245495,4577.194769586406
80,32265.51492699785,43.8,1155.0,285.625,14074102.012332078,1362867.1978639688,6081.7263915955355,2953.413093376338
90,11882.694602524998,28.199999999999996,1219.375,129.375,19441710.886580154,1282619.9372727096,6775.3664224853865,1424.9298170223121
